filename,atom_count
qmof-ba60a35.cif,102
qmof-987868e.cif,102
qmof-f269adb.cif,84
qmof-43ea48b.cif,64
qmof-f954167.cif,76
qmof-d286c59.cif,80
qmof-8ce7f1c.cif,108
qmof-a091774.cif,68
qmof-80aae80.cif,86
qmof-9471807.cif,82
qmof-22a80df.cif,60
qmof-201ddfa.cif,110
qmof-5ee3f65.cif,80
qmof-999de53.cif,82
qmof-724d937.cif,68
qmof-d014068.cif,86
qmof-e0b5cf3.cif,103
qmof-718ab88.cif,77
qmof-bad3ee2.cif,100
qmof-d6d1915.cif,102
qmof-a92f564.cif,90
qmof-14f8281.cif,96
qmof-aa72c18.cif,76
qmof-07c1136.cif,88
qmof-0ac08a6.cif,84
qmof-c5c5d13.cif,61
qmof-e4b5afc.cif,94
qmof-acf1aaf.cif,120
qmof-ed20cf9.cif,86
qmof-0de3389.cif,76
qmof-1123eb9.cif,66
qmof-516e1ae.cif,65
qmof-e29169f.cif,98
qmof-026f191.cif,116
qmof-e6dada5.cif,60
qmof-6115da4.cif,60
qmof-e100550.cif,64
qmof-d9678a4.cif,74
qmof-1461a66.cif,90
qmof-e2b0729.cif,102
qmof-19b5170.cif,104
qmof-8b79c84.cif,86
qmof-a9f6b42.cif,96
qmof-61e9800.cif,62
qmof-46cb25f.cif,90
qmof-0133865.cif,68
qmof-12e5fd9.cif,104
qmof-edbc9dd.cif,86
qmof-ad6a8cd.cif,84
qmof-a36b34a.cif,88
qmof-29dc9b8.cif,98
qmof-eaef6dd.cif,76
qmof-14d9a90.cif,116
qmof-193431e.cif,84
qmof-3f3a532.cif,66
qmof-3cfd9d8.cif,66
qmof-30a512a.cif,100
qmof-3bb252f.cif,84
qmof-93dfeb2.cif,116
qmof-996eba1.cif,108
qmof-4e8ed50.cif,60
qmof-16a358a.cif,68
qmof-0c64ba3.cif,92
qmof-5d52dfb.cif,80
qmof-f491166.cif,76
qmof-65f6051.cif,65
qmof-a956203.cif,98
qmof-ad64f0d.cif,84
qmof-c223541.cif,106
qmof-2016868.cif,107
qmof-d3a576e.cif,104
qmof-e1b5da8.cif,112
qmof-1825bea.cif,118
qmof-b33b31e.cif,80
