2025-11-24 14:57:00,644 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 14:57:00,644 - INFO - 
================================================================================
2025-11-24 14:57:00,645 - INFO - [EP 0] START
2025-11-24 14:57:00,645 - INFO - [EP 0] max_steps = 300
2025-11-24 14:57:01,255 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-1940038.cif
2025-11-24 14:57:01,255 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 14:57:01,262 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 14:57:01,649 - INFO - [EP 0][STEP 0] N=110 | Favg=0.147394 Fmax=0.393471 rew_mean=-3.171879 | replay=105 | alpha=1.00000
2025-11-24 14:57:02,366 - INFO - [EP 0][STEP 1] N=110 | Favg=0.198662 Fmax=0.577939 rew_mean=-1.692687 | replay=209 | alpha=1.00000
2025-11-24 14:57:02,505 - INFO - [EP 0][STEP 2] N=110 | Favg=0.239612 Fmax=0.717978 rew_mean=-1.512416 | replay=311 | alpha=1.00000
2025-11-24 14:57:02,643 - INFO - [EP 0][STEP 3] N=110 | Favg=0.258596 Fmax=0.695881 rew_mean=-0.526984 | replay=416 | alpha=1.00000
2025-11-24 14:57:03,295 - INFO - [EP 0][STEP 4] N=110 | Favg=0.298913 Fmax=0.918352 rew_mean=-1.110391 | replay=519 | alpha=1.00000
2025-11-24 14:57:04,149 - INFO - [EP 0][STEP 5] N=110 | Favg=0.310077 Fmax=1.089689 rew_mean=-0.246369 | replay=618 | alpha=1.00000
2025-11-24 14:57:04,288 - INFO - [EP 0][STEP 6] N=110 | Favg=0.335494 Fmax=1.038636 rew_mean=-0.706121 | replay=717 | alpha=1.00000
2025-11-24 14:57:04,426 - INFO - [EP 0][STEP 7] N=110 | Favg=0.384586 Fmax=1.089619 rew_mean=-1.185443 | replay=821 | alpha=1.00000
2025-11-24 14:57:04,564 - INFO - [EP 0][STEP 8] N=110 | Favg=0.394981 Fmax=1.249990 rew_mean=-0.131887 | replay=922 | alpha=1.00000
2025-11-24 14:57:04,704 - INFO - [EP 0][STEP 9] N=110 | Favg=0.418996 Fmax=1.354159 rew_mean=-0.531371 | replay=1,020 | alpha=1.00000
2025-11-24 14:57:04,843 - INFO - [EP 0][STEP 10] N=110 | Favg=0.448597 Fmax=1.549298 rew_mean=-0.639187 | replay=1,122 | alpha=1.00000
