episode,total_steps,return,steps,done_reason,fmax_last,buffer_size,cif_path
0,5,-9.811191,5,bond,7429.893555,297,"mofs/train_pool_valid/qmof-08f6834.cif"
1,9,-7.972519,4,bond,2812.358398,643,"mofs/train_pool_valid/qmof-61d7076.cif"
2,14,-6.672119,5,bond,78.327736,983,"mofs/train_pool_valid/qmof-5692fe2.cif"
3,19,-7.769385,5,bond,3707.511230,1453,"mofs/train_pool_valid/qmof-4e4871b.cif"
4,24,-7.224253,5,bond,1450.772705,1915,"mofs/train_pool_valid/qmof-3067afa.cif"
5,29,-7.993174,5,bond,467.716034,2335,"mofs/train_pool_valid/qmof-22f5c5c.cif"
6,34,-7.718308,5,bond,1282.318359,2823,"mofs/train_pool_valid/qmof-f1f9075.cif"
7,38,-9.149016,4,bond,12083.402344,3259,"mofs/train_pool_valid/qmof-c218ed4.cif"
8,42,-6.696966,4,bond,3813.570312,3687,"mofs/train_pool_valid/qmof-1df1f71.cif"
9,45,-5.189029,3,bond,1046.395264,3959,"mofs/train_pool_valid/qmof-d29bd71.cif"
10,50,-6.671684,5,bond,125.067818,4301,"mofs/train_pool_valid/qmof-94ee8a1.cif"
11,56,-8.497829,6,bond,131.762619,4705,"mofs/train_pool_valid/qmof-0b98df9.cif"
12,61,-7.120121,5,bond,1452.893555,5093,"mofs/train_pool_valid/qmof-0ac08a6.cif"
13,65,-5.891655,4,bond,187.446030,5397,"mofs/train_pool_valid/qmof-2042bd9.cif"
14,68,-6.773413,3,bond,683.645081,5599,"mofs/train_pool_valid/qmof-4c7d737.cif"
15,73,-8.887361,5,bond,4793.087402,6067,"mofs/train_pool_valid/qmof-524d0bd.cif"
16,77,-7.142269,4,bond,845.335754,6495,"mofs/train_pool_valid/qmof-b441094.cif"
17,81,-8.802708,4,bond,8212.691406,6935,"mofs/train_pool_valid/qmof-d6ce5a5.cif"
18,86,-7.472544,5,bond,2203.269287,7483,"mofs/train_pool_valid/qmof-097389c.cif"
19,90,-7.645518,4,bond,311.501556,7811,"mofs/train_pool_valid/qmof-c81c070.cif"
20,95,-8.183935,5,bond,4663.402344,8171,"mofs/train_pool_valid/qmof-45804f7.cif"
21,102,-8.932272,7,bond,1225.387085,8681,"mofs/train_pool_valid/qmof-e7b4875.cif"
22,107,-8.153058,5,bond,551.623413,9001,"mofs/train_pool_valid/qmof-fb27fc1.cif"
23,114,-10.715610,7,bond,3795.911621,9526,"mofs/train_pool_valid/qmof-c1eb32e.cif"
