episode,steps
0,300.0
1,301.0
2,302.0
3,304.0
4,305.0
5,307.0
6,308.0
7,309.0
8,311.0
9,312.0
10,314.0
11,315.0
12,316.0
13,318.0
14,319.0
15,321.0
16,322.0
17,323.0
18,325.0
19,326.0
20,328.0
21,329.0
22,330.0
23,332.0
24,333.0
25,335.0
26,336.0
27,337.0
28,339.0
29,340.0
30,342.0
31,343.0
32,344.0
33,346.0
34,347.0
35,349.0
36,350.0
37,351.0
38,353.0
39,354.0
40,356.0
41,357.0
42,358.0
43,360.0
44,361.0
45,363.0
46,364.0
47,365.0
48,367.0
49,368.0
50,370.0
51,371.0
52,372.0
53,374.0
54,375.0
55,377.0
56,378.0
57,379.0
58,381.0
59,382.0
60,384.0
61,385.0
62,386.0
63,388.0
64,389.0
65,391.0
66,392.0
67,393.0
68,395.0
69,396.0
70,398.0
71,399.0
72,400.0
73,402.0
74,403.0
75,405.0
76,406.0
77,407.0
78,409.0
79,410.0
80,412.0
81,413.0
82,414.0
83,416.0
84,417.0
85,419.0
86,420.0
87,421.0
88,423.0
89,424.0
90,426.0
91,427.0
92,428.0
93,430.0
94,431.0
95,433.0
96,434.0
97,435.0
98,437.0
99,438.0
100,440.0
101,441.0
102,442.0
103,444.0
104,445.0
105,447.0
106,448.0
107,449.0
108,451.0
109,452.0
110,454.0
111,455.0
112,456.0
113,458.0
114,459.0
115,461.0
116,462.0
117,463.0
118,465.0
119,466.0
120,468.0
121,469.0
122,470.0
123,472.0
124,473.0
125,475.0
126,476.0
127,477.0
128,479.0
129,480.0
130,482.0
131,483.0
132,484.0
133,486.0
134,487.0
135,489.0
136,490.0
137,491.0
138,493.0
139,494.0
140,496.0
141,497.0
142,498.0
143,500.0
144,501.0
145,503.0
146,504.0
147,505.0
148,507.0
149,508.0
150,510.0
151,511.0
152,512.0
153,514.0
154,515.0
155,517.0
156,518.0
157,519.0
158,521.0
159,522.0
160,524.0
161,525.0
162,526.0
163,528.0
164,529.0
165,531.0
166,532.0
167,533.0
168,535.0
169,536.0
170,538.0
171,539.0
172,540.0
173,542.0
174,543.0
175,545.0
176,546.0
177,547.0
178,549.0
179,550.0
180,552.0
181,553.0
182,554.0
183,556.0
184,557.0
185,559.0
186,560.0
187,561.0
188,563.0
189,564.0
190,566.0
191,567.0
192,568.0
193,570.0
194,571.0
195,573.0
196,574.0
197,575.0
198,577.0
199,578.0
200,580.0
201,581.0
202,582.0
203,584.0
204,585.0
205,587.0
206,588.0
207,589.0
208,591.0
209,592.0
210,594.0
211,595.0
212,596.0
213,598.0
214,599.0
215,601.0
216,602.0
217,603.0
218,605.0
219,606.0
220,608.0
221,609.0
222,610.0
223,612.0
224,613.0
225,615.0
226,616.0
227,617.0
228,619.0
229,620.0
230,369.0
231,623.0
232,624.0
233,626.0
234,627.0
235,629.0
236,630.0
237,631.0
238,633.0
239,634.0
240,636.0
241,637.0
242,638.0
243,640.0
244,306.0
245,643.0
246,644.0
247,645.0
248,647.0
249,648.0
250,650.0
251,651.0
252,652.0
253,298.0
254,47.0
255,657.0
256,658.0
257,659.0
258,661.0
259,662.0
260,664.0
261,665.0
262,666.0
263,668.0
264,669.0
265,671.0
266,672.0
267,673.0
268,675.0
269,61.0
270,460.0
271,679.0
272,680.0
273,682.0
274,683.0
275,685.0
276,153.0
277,50.0
278,689.0
279,690.0
280,8.0
281,140.0
282,694.0
283,696.0
284,697.0
285,699.0
286,18.0
287,75.0
288,34.0
289,704.0
290,706.0
291,213.0
292,110.0
293,378.0
294,334.0
295,81.0
296,714.0
297,68.0
298,243.0
299,73.0
300,274.0
301,721.0
302,2.0
303,724.0
304,725.0
305,12.0
306,252.0
307,729.0
308,43.0
309,47.0
310,296.0
311,735.0
312,736.0
313,344.0
314,29.0
315,741.0
316,69.0
317,41.0
318,22.0
319,35.0
320,18.0
321,434.0
322,112.0
323,157.0
324,72.0
325,20.0
326,756.0
327,757.0
328,759.0
329,94.0
330,34.0
331,679.0
332,51.0
333,197.0
334,81.0
335,769.0
336,59.0
337,771.0
338,401.0
339,30.0
340,776.0
341,143.0
342,778.0
343,127.0
344,1.0
345,113.0
346,87.0
347,50.0
348,787.0
349,142.0
350,1.0
351,16.0
352,117.0
353,378.0
354,38.0
355,6.0
356,349.0
357,799.0
358,78.0
359,802.0
360,12.0
361,58.0
362,15.0
363,808.0
364,809.0
365,37.0
366,71.0
367,61.0
368,815.0
369,138.0
370,21.0
371,71.0
372,13.0
373,822.0
374,80.0
375,57.0
376,826.0
377,827.0
378,97.0
379,830.0
380,8.0
381,171.0
382,700.0
383,51.0
384,30.0
385,839.0
386,288.0
387,30.0
388,6.0
389,13.0
390,846.0
391,22.0
392,350.0
393,185.0
394,24.0
395,43.0
396,1.0
397,15.0
398,25.0
399,103.0
400,53.0
401,70.0
402,39.0
403,1.0
404,865.0
405,83.0
406,520.0
407,5.0
408,17.0
409,82.0
410,164.0
411,237.0
412,28.0
413,110.0
414,92.0
415,29.0
416,47.0
417,883.0
418,8.0
419,12.0
420,42.0
421,110.0
422,173.0
423,47.0
424,123.0
425,895.0
426,10.0
427,31.0
