episode,step,return
0,25,32.495342
0,72,33.155175
1,27,32.5797
1,32,31.008171
2,24,31.551547
3,26,32.984788
4,19,27.967364
5,51,31.066039
6,66,34.343315
7,20,29.767877
8,46,32.802754
9,30,31.1239
10,29,32.713006
11,23,29.985213
12,315,29.689201
13,61,30.810929
14,36,30.796853
15,31,29.602887
16,321,31.609143
17,322,30.70878
18,21,31.410362
19,22,32.271252
20,327,26.654373
21,34,34.669255
22,41,34.813693
23,21,31.647417
24,27,35.87489
25,29,35.045913
26,65,31.818366
27,336,30.731396
28,31,34.692057
29,339,29.549895
30,24,32.377188
31,28,34.21134
32,25,30.935866
33,47,34.728199
34,59,30.914518
35,23,31.065112
36,26,33.227147
37,26,31.739696
38,48,33.227985
39,80,32.381615
40,38,30.82784
41,39,34.793695
42,57,31.247468
43,48,33.716647
44,28,33.581563
45,50,32.498961
46,40,35.143806
47,22,32.850699
48,37,32.39605
49,30,34.270862
50,43,33.763061
51,46,33.386711
52,35,34.657605
53,95,31.817481
54,35,34.248015
55,39,35.201922
56,24,34.264048
57,95,35.991848
58,380,32.206515
59,177,36.965346
60,33,34.12629
61,384,30.896027
62,55,34.77949
63,29,31.901327
64,30,32.7357
65,272,36.32834
66,111,36.470949
67,29,36.397333
68,47,33.531412
69,27,31.823586
70,28,35.582364
71,45,34.689052
72,81,33.351727
73,58,34.12137
74,35,36.000853
75,23,33.903923
76,27,33.925953
77,70,31.534915
78,34,31.202964
79,33,31.642748
80,37,37.090438
81,33,31.256325
82,80,32.237524
83,41,36.289453
84,62,36.170808
85,62,36.725089
86,27,31.481098
87,31,35.02689
88,39,35.090638
89,34,35.237906
90,30,34.216675
91,34,36.652442
92,52,36.41688
93,282,34.426546
94,25,33.587164
95,32,34.317781
96,33,33.119967
97,26,32.554101
98,31,36.903582
99,35,36.294423
100,439,32.987548
101,41,36.153617
102,33,35.163299
103,33,35.147751
104,34,37.56121
105,117,34.473945
106,37,34.35736
107,33,36.574099
108,27,35.758086
109,35,33.698504
110,201,36.221635
111,40,37.094715
112,42,35.623418
113,44,36.012507
114,30,35.737315
115,48,34.321477
116,33,34.659226
117,41,35.802317
118,404,38.471583
119,35,29.96987
120,67,35.282223
121,33,33.082099
122,349,35.692959
123,114,35.282546
124,51,35.52344
125,474,29.509742
126,42,37.06196
127,29,35.424106
128,75,36.179246
129,29,33.900834
130,36,34.386487
131,155,33.122691
132,75,35.50216
133,56,38.792854
134,34,37.248258
135,50,36.896433
136,27,34.23737
137,35,34.933379
138,37,35.710565
139,39,37.010567
140,58,36.196221
141,59,35.930454
142,38,33.848048
143,44,36.715584
144,60,36.897483
145,37,37.325578
146,59,35.58757
147,65,37.304434
148,31,34.946164
149,55,36.614487
150,509,35.396848
151,40,38.736242
152,45,36.468433
153,33,36.692413
154,41,32.680871
155,30,35.509552
156,45,32.896974
157,48,35.634208
158,50,35.921346
159,42,36.669793
160,40,36.729754
161,42,36.449685
162,42,35.710108
163,36,36.828195
164,131,38.085135
165,40,37.602166
166,50,38.626461
167,484,37.806187
168,31,36.405475
169,40,36.183288
170,51,39.113651
171,40,35.595042
172,47,37.812317
173,43,35.760139
174,69,38.82889
175,41,38.215356
176,41,37.28391
177,42,37.71653
178,46,36.315726
179,41,38.335489
180,42,39.585764
181,52,37.04441
182,41,34.582892
183,39,37.352268
184,51,38.334151
185,238,37.835013
186,59,36.221668
187,64,39.18461
188,36,36.945057
189,42,38.25647
190,33,32.508039
191,42,37.78733
192,58,37.524166
193,58,39.485768
194,41,36.753859
195,38,36.096697
196,51,37.325009
197,48,39.122941
198,61,35.977605
199,39,38.730117
200,47,39.539806
201,94,37.179092
202,75,37.037952
203,124,38.696701
204,63,38.241948
205,43,38.113371
206,63,37.61905
207,42,39.11404
208,85,35.685229
209,39,36.387733
210,54,37.895971
211,51,38.905536
212,49,40.202075
213,43,37.253227
214,62,37.174723
215,41,36.38574
216,37,37.159792
217,39,39.525414
218,80,39.89187
219,45,37.310832
220,368,40.371436
221,42,37.51772
222,39,37.588494
223,51,37.760608
224,46,39.748378
225,135,36.403348
226,43,37.094799
227,499,39.04433
228,102,39.08893
229,155,37.4878
230,49,36.890449
231,53,39.044287
232,48,34.482058
233,42,36.145193
234,48,36.60797
235,38,37.40354
236,45,38.076682
237,50,37.015302
238,72,40.519614
239,42,39.569961
240,49,39.596436
241,48,38.709867
242,51,41.088961
243,639,33.170897
244,78,41.638977
245,127,39.390538
246,69,36.599277
247,565,38.776405
248,49,41.205612
249,44,37.418023
250,153,38.527942
251,44,39.704965
252,54,39.826203
253,43,38.391293
254,61,38.865878
255,45,37.243648
256,52,38.243729
257,61,37.546509
258,39,36.745183
259,50,40.34295
260,62,41.773991
261,46,37.65004
262,50,39.695598
263,66,34.663785
264,58,38.156651
265,36,38.182603
266,52,38.872047
267,67,38.520068
268,55,37.201921
269,47,39.93725
270,59,41.373879
271,66,36.047384
272,56,40.08799
273,49,39.479051
274,47,39.16419
275,58,37.887357
276,143,42.56423
277,49,34.645299
278,50,40.062593
279,78,41.620318
280,46,40.401961
281,50,37.908339
282,50,40.618265
283,53,40.077039
284,63,40.943919
285,62,39.022225
286,62,40.673096
287,139,38.74012
288,91,36.124162
289,61,38.274953
290,79,38.020619
291,184,41.559849
292,42,39.215019
293,47,39.317929
294,48,39.450801
295,92,35.112895
296,50,39.31409
297,55,40.607537
298,82,42.156519
299,73,39.995644
300,63,32.479156
301,43,38.810786
302,53,41.419568
303,75,38.059289
304,52,40.227348
305,131,40.169572
306,727,38.286594
307,44,39.970826
308,59,39.61192
309,109,38.856402
310,55,42.267693
311,51,39.369506
312,270,41.252301
313,41,40.270397
314,47,37.314817
315,55,39.037456
316,52,38.953128
317,48,40.280996
318,45,40.400953
319,49,36.936208
320,51,41.18328
321,48,38.87431
