episode,step,return
0,32,37.452083
0,29,38.476196
0,26,40.19022
0,36,41.895592
0,299,-1.200495
1,25,36.494844
1,32,40.24428
1,300,29.56899
1,204,24.048319
1,300,13.236375
2,27,39.510633
2,24,35.194284
2,40,40.566984
2,68,37.918944
3,98,36.821772
3,53,32.994101
3,23,39.851051
4,29,39.613505
4,120,30.664288
4,19,40.217451
5,70,39.767039
5,31,35.720732
5,53,38.171698
6,307,24.346029
6,26,40.722638
6,25,38.817173
7,25,42.930242
7,31,40.255666
8,39,41.806026
8,310,-1.887471
9,245,22.476588
9,34,41.925765
10,313,12.644313
10,30,38.716066
11,107,32.390239
11,24,39.680079
12,50,40.384727
12,47,38.598784
13,50,39.464394
13,82,36.021996
14,266,20.870062
14,67,39.724261
15,320,-2.050381
16,97,30.657228
17,25,40.664182
18,324,0.769815
19,27,39.318233
20,37,40.387935
21,30,39.273642
22,54,36.610704
23,331,3.274546
24,58,38.714214
25,27,42.180126
26,36,40.925904
27,34,40.717735
28,33,40.976258
29,41,37.352696
30,37,38.551081
31,95,36.488882
32,48,38.744097
33,44,40.071911
34,26,42.67431
35,93,37.701976
36,135,35.294596
37,350,-2.704551
38,352,-0.987894
39,34,41.5322
40,27,41.126268
41,35,41.520261
42,87,39.011117
43,79,36.478117
44,34,39.681169
45,67,38.896164
46,40,42.842818
47,129,32.666254
48,43,41.592248
49,25,43.22452
50,369,-5.15616
51,25,39.960574
52,47,35.763657
53,35,42.007037
54,374,-4.347818
55,376,-5.357146
56,35,39.972163
57,97,38.140799
58,49,40.854913
59,27,40.469296
60,32,42.111106
61,39,40.811045
62,35,39.513947
63,39,39.483713
64,61,38.570636
65,61,38.864575
66,391,-5.654868
67,39,39.544879
68,215,30.432336
69,395,-3.124431
70,34,41.019327
71,50,42.541983
72,32,41.360382
73,47,41.716815
74,77,38.741317
75,40,41.165175
76,28,39.98686
77,109,34.138886
78,31,41.641698
79,40,41.187953
80,37,43.753433
81,60,41.314101
82,69,40.144607
83,39,44.715255
84,25,41.545686
85,40,41.706641
86,29,42.34315
87,27,42.495333
88,74,40.469006
89,48,39.72663
90,32,43.372207
91,99,35.156667
92,64,36.35553
93,40,42.463532
94,83,37.556184
95,41,44.328849
96,32,43.302439
97,434,-3.434926
98,25,38.937865
99,62,35.814539
100,42,40.011909
101,49,39.517073
102,168,32.526819
103,32,40.482136
104,444,-9.047217
105,41,39.864541
106,42,43.359999
107,44,40.681235
108,35,40.802615
109,44,44.047954
110,453,-4.236503
111,454,-1.709251
112,35,39.458909
113,74,41.079907
114,37,43.415107
115,460,-4.060634
116,49,39.781506
117,105,40.598673
118,47,43.149745
119,45,42.659303
120,35,42.683433
121,38,42.327467
122,469,-7.151805
123,31,42.931481
124,46,42.709324
125,176,32.967805
126,52,43.682327
127,100,39.467651
128,44,41.972427
129,196,33.040575
130,42,42.161982
131,52,42.685982
132,147,37.846287
133,485,-3.969814
134,55,43.100896
135,40,42.63985
136,36,43.232679
137,37,43.652718
138,59,41.322843
139,35,42.708275
140,123,36.128174
141,33,42.406043
142,46,44.574881
143,84,40.568517
144,45,43.232548
145,49,41.295427
146,31,43.455097
147,347,22.902295
148,42,44.216789
149,41,45.400805
150,46,44.114646
151,40,44.223171
152,40,41.581118
153,38,43.457814
154,38,44.470566
155,58,45.865507
156,226,29.089174
157,51,41.088604
158,36,41.742667
159,41,44.459457
160,38,45.826916
161,62,40.237345
162,44,45.37413
163,49,43.394549
164,52,44.28619
165,36,43.184067
166,41,42.00285
167,48,44.452291
168,418,15.38783
169,52,43.284344
170,80,41.422673
171,40,44.008725
172,55,44.648127
173,50,45.392991
174,39,43.144608
175,37,45.031143
176,36,42.933224
177,38,45.704421
178,41,42.152164
179,549,-15.815893
180,103,40.771489
181,52,43.800133
182,58,45.074974
183,39,43.870132
184,44,45.569984
185,46,44.621902
186,112,40.426893
187,54,42.839282
188,60,44.256677
189,46,46.426785
190,41,44.730772
191,49,43.5248
192,47,43.916995
193,61,41.325575
194,68,42.295011
195,61,43.326441
196,557,7.212499
197,42,39.966393
198,67,42.294216
199,96,41.035873
200,42,43.022696
201,61,44.816341
202,52,42.240011
203,39,44.891488
204,584,-8.346079
205,47,40.84724
206,57,44.114373
207,588,-12.37927
208,45,41.632937
209,42,40.538458
210,39,45.82698
211,39,47.057936
212,143,38.373753
213,59,44.480285
214,42,44.151031
215,50,41.899539
216,47,45.053127
217,58,45.079864
218,44,45.956769
219,47,44.276136
220,139,41.883503
221,46,45.310881
222,46,46.004015
223,250,28.794754
224,44,45.269794
225,614,-10.168683
226,58,46.468422
227,90,39.94753
228,52,45.264401
229,104,40.044862
230,53,43.687047
231,41,44.711253
232,42,44.878109
233,49,45.958449
234,39,43.155167
235,51,45.963741
236,48,45.335546
237,630,-12.397309
238,40,45.492975
239,65,44.661293
240,635,-9.255543
241,77,40.491205
242,53,46.080485
243,38,44.011608
244,43,45.542319
245,48,43.702038
246,56,41.771144
247,59,45.07412
248,83,43.549083
249,46,45.782202
250,47,46.344358
251,51,46.481391
252,55,44.306232
253,81,45.888479
254,73,41.834221
255,41,45.667308
256,64,43.48015
257,658,-11.25621
258,89,41.95639
259,47,46.810403
260,51,40.149382
261,54,46.238809
262,60,47.252176
263,81,41.908821
264,96,42.123314
265,85,45.903222
266,51,46.284238
267,50,45.859851
268,52,45.458991
269,44,46.295316
270,43,44.843239
271,64,46.101817
272,300,29.396551
273,43,45.952969
274,100,39.141639
275,41,47.070229
276,63,45.392289
277,49,46.251596
278,688,-16.664271
279,689,-15.489615
280,122,41.074911
281,53,44.226161
282,47,45.691743
283,161,35.681265
284,55,45.360506
285,55,46.413143
286,67,44.551149
287,49,46.456209
288,43,45.436604
289,43,47.278788
290,62,45.848132
291,41,47.113661
292,40,44.803067
293,40,43.038241
294,49,45.477174
295,49,44.133764
296,48,44.980284
297,714,-16.138864
298,62,46.513179
299,49,46.850053
300,45,46.875898
301,55,46.3245
302,71,45.683668
303,59,42.722154
304,435,22.089725
305,59,47.860969
306,65,42.125511
307,100,43.205715
308,51,46.231859
309,90,42.377274
310,51,40.870401
311,62,46.686662
312,62,47.067899
313,57,46.797626
314,46,46.946776
315,56,46.266364
316,46,47.033573
317,47,46.242955
318,55,44.761801
319,745,-19.924699
320,42,44.758304
321,100,44.628546
322,39,45.842781
323,751,-17.430985
324,47,46.602361
325,48,45.938199
326,52,47.746315
327,49,46.894232
328,229,33.528289
329,96,41.018166
330,66,43.520297
331,116,41.613732
332,61,46.203326
333,37,47.243131
334,81,42.888038
335,67,48.703185
336,59,47.454748
337,100,43.271094
338,60,46.690111
339,54,44.892337
340,775,-18.77359
341,69,47.728616
342,63,46.922997
343,55,45.489522
344,52,47.659503
345,54,47.442601
346,47,46.157312
347,784,-16.174034
348,45,47.58909
349,58,44.903839
350,72,45.863804
351,52,46.814987
352,57,47.282009
353,57,47.369793
354,62,47.560211
355,55,46.264952
356,64,46.793175
357,49,48.939333
358,72,46.622949
359,108,42.177379
360,55,48.774758
361,88,47.439129
362,58,46.707779
363,48,46.171931
364,173,38.451386
365,169,37.602103
366,657,9.96334
367,174,39.558595
368,48,45.107541
369,61,47.469197
370,50,46.120785
371,55,42.06648
372,57,48.483073
373,121,41.828493
374,63,45.543511
375,56,49.727474
376,61,46.96021
377,90,45.321797
378,53,46.095536
379,65,47.540519
380,57,48.512637
381,76,46.153802
382,67,48.148204
383,50,46.200438
384,66,46.090571
385,56,47.522603
386,839,-19.055991
387,58,47.826223
388,54,48.808245
389,66,47.188288
390,845,-19.810322
391,57,46.382186
392,71,48.157736
393,113,43.577752
394,59,46.305818
395,80,46.853442
396,61,47.00747
397,53,48.074958
398,52,49.204036
399,79,45.909454
400,60,50.367443
401,58,44.851475
402,59,49.853591
403,64,48.275311
404,58,45.650591
405,51,45.150967
406,60,48.274218
407,122,45.912886
408,65,44.892061
409,62,46.234864
410,873,-19.826749
411,103,41.66375
412,69,49.561769
413,73,48.803342
414,76,44.530928
415,119,43.730357
416,96,45.282559
417,63,46.244776
418,224,34.624989
419,60,48.112043
420,73,47.111408
421,54,45.688739
422,54,45.950846
423,49,47.296687
424,57,45.941038
425,60,46.996783
426,59,46.390643
427,72,46.09252
428,91,47.478807
429,45,47.89396
430,68,47.156356
431,58,45.202586
432,140,41.518294
433,365,27.890211
434,67,46.267644
435,63,48.599248
436,62,49.32377
437,95,46.331276
438,81,45.52553
439,55,48.117672
440,75,47.058001
441,69,47.523382
442,63,48.816882
443,62,48.872278
444,60,47.255211
445,58,48.150786
446,65,48.898742
447,69,47.844282
448,66,47.213427
449,64,48.020832
450,66,47.80694
451,116,46.725784
452,931,-20.932396
453,63,48.468695
454,74,47.488431
455,56,49.370683
456,74,46.115714
457,62,49.43916
458,73,45.953098
459,67,50.833555
460,81,47.281586
461,944,-28.04162
462,182,41.673947
463,87,48.755092
464,67,46.543371
465,68,46.34922
466,79,44.434209
467,56,46.879078
468,540,19.409286
469,63,41.901103
470,957,-21.179815
471,77,48.234087
472,70,48.452792
473,67,49.328605
474,65,48.77488
475,73,47.825178
476,73,49.364915
477,59,45.261423
478,105,48.346651
479,94,46.585368
480,60,48.974108
481,69,47.927541
482,100,44.978929
483,975,-23.006281
484,87,46.199119
485,70,45.534802
486,66,48.220062
487,58,48.361173
488,58,47.227993
489,53,48.609988
490,67,43.080936
491,62,47.072465
492,78,47.659741
493,56,47.634796
494,191,39.286101
495,107,47.06674
496,993,-34.289886
497,994,-23.661234
498,66,48.021448
499,85,45.66851
500,60,47.671027
501,61,48.392353
502,64,49.270411
503,59,48.265285
504,67,46.387281
505,61,46.682329
506,59,48.685195
507,92,45.750489
508,59,48.092842
509,76,46.995868
510,70,50.655769
511,89,47.494804
512,63,47.986423
513,102,46.656027
514,129,44.393466
515,87,44.535641
516,111,47.544164
517,999,-24.23204
518,75,47.153481
519,93,45.891724
520,96,46.978762
521,64,49.28323
522,64,49.852238
523,78,46.064143
524,80,47.850454
525,52,45.79878
526,65,47.749266
527,122,47.682133
528,92,47.804617
529,63,47.132701
530,85,43.966046
531,70,49.353744
532,79,47.718027
533,66,49.51097
534,74,48.284852
535,81,48.757512
536,67,50.638548
537,79,50.077078
538,157,39.754958
539,65,48.0356
540,74,47.375292
541,69,48.410092
542,61,50.548091
543,74,48.172602
544,128,47.709211
545,99,47.070382
546,67,44.582498
547,77,48.116429
548,84,47.161468
549,123,45.527874
550,63,47.059537
551,81,47.801043
552,73,48.450959
553,81,50.034346
554,82,43.98284
555,81,48.607509
556,68,50.59187
557,70,49.903527
558,75,46.694157
559,58,47.307494
560,999,-24.712211
561,72,46.941616
562,77,49.397911
563,100,46.812536
564,81,49.166515
565,72,49.212274
566,71,49.255197
567,84,48.133066
568,88,46.220702
569,121,41.781546
570,85,47.126037
571,89,50.92233
572,92,48.322361
573,76,50.950378
574,82,49.386156
575,95,46.355037
576,536,16.181287
577,195,40.704101
