episode,step,return
0,16,38.157354
1,17,34.244009
2,21,39.657857
3,31,37.506934
4,20,34.513326
5,34,37.059375
6,21,38.333842
7,25,38.956248
8,21,36.114079
9,25,38.299312
10,32,36.982724
11,23,37.919989
12,34,37.502674
13,26,35.858081
14,32,37.586641
15,69,37.084598
16,25,37.210316
17,20,35.582912
18,20,38.445018
19,27,36.430451
20,26,37.334962
21,19,38.483903
22,21,37.248392
23,24,38.389207
24,27,34.973491
25,22,38.716152
26,27,38.401859
27,24,38.54027
28,26,37.768279
29,17,38.557938
30,16,36.884111
31,26,37.202086
32,22,36.118288
33,61,34.385681
34,61,34.690171
35,26,37.403244
36,31,38.250516
37,19,37.560846
38,23,36.808175
39,40,40.895899
40,51,37.217577
41,19,34.200012
42,27,39.573281
43,23,39.216941
44,18,38.373634
45,21,38.310215
46,19,38.128384
47,18,37.047971
48,21,33.248707
49,23,37.822329
50,21,39.20254
51,20,40.147762
52,22,38.374796
53,33,38.78369
54,18,38.417857
55,34,38.394966
56,24,35.003797
57,27,35.222228
58,20,38.590535
59,20,40.714667
60,31,37.958453
61,21,36.651661
62,25,39.259161
63,21,38.645814
64,24,38.71808
65,20,37.437983
66,17,37.273368
67,24,40.315037
68,22,39.257382
69,17,39.391882
70,20,40.689662
71,23,38.605287
72,24,39.937817
73,29,37.417681
74,25,38.59649
75,30,38.096017
76,41,37.606294
77,66,36.217096
78,20,41.727056
79,29,39.714851
80,28,39.357598
81,23,36.538516
82,17,39.913795
83,21,40.811212
84,29,40.140854
85,24,37.935175
86,24,38.68317
87,19,37.988712
88,30,37.783584
89,20,38.994016
90,33,38.823116
91,29,40.688433
92,26,39.73302
93,41,37.819244
94,27,37.31841
95,24,39.813991
96,27,37.286194
97,24,39.081932
98,30,38.110487
99,29,38.936609
100,24,38.93132
101,27,34.961494
102,24,40.839787
103,21,41.376033
104,78,36.134096
105,26,40.178624
106,50,35.520751
107,22,39.471324
108,27,41.438306
109,20,40.853583
110,25,39.722548
111,21,39.279872
112,25,38.422927
113,25,39.906984
114,45,37.146085
115,26,40.417298
116,28,40.314421
117,27,39.97527
118,25,42.239549
119,25,39.121959
120,371,-2.495115
121,29,41.057951
122,21,39.643806
123,19,38.382118
124,26,41.871028
125,168,31.1343
126,31,40.435364
127,26,41.940817
128,24,39.29101
129,41,40.767914
130,23,40.965466
131,21,41.768243
132,20,40.2094
133,22,40.627708
134,20,39.794664
135,36,38.439452
136,26,38.865636
137,34,40.393073
138,22,40.55408
139,80,36.576082
140,28,41.296379
141,24,40.254278
142,384,-5.879642
143,28,41.386751
144,126,31.465096
145,23,42.633849
146,27,40.154321
147,26,40.834485
148,25,42.498902
149,24,43.068289
150,25,37.847831
151,29,42.677105
152,27,39.830555
153,23,40.377697
154,23,42.021067
155,30,42.632211
156,23,40.272472
157,24,40.395135
158,26,40.343058
159,21,40.246503
160,21,39.799467
161,25,42.678796
162,35,37.053805
163,27,37.941901
164,29,40.923882
165,25,43.124875
166,26,40.091335
167,60,39.311771
168,31,36.131269
169,29,40.213215
170,25,38.495318
171,41,41.201769
172,27,40.006962
173,25,41.602715
174,44,41.087536
175,20,38.945974
176,28,43.326423
177,30,43.409106
178,25,41.432677
179,23,40.808659
180,29,39.622165
181,24,39.849185
182,28,42.959446
183,27,41.151138
184,19,39.287955
185,46,38.199795
186,35,38.898035
187,34,40.569866
188,24,42.38436
189,28,40.257857
190,98,34.664761
191,26,41.661585
192,30,39.782677
193,29,40.626368
194,24,41.729302
195,32,44.614267
196,44,42.107651
197,26,41.440749
198,58,38.914103
199,25,41.845097
200,32,42.559428
201,419,-4.558259
202,29,39.851446
203,23,41.808337
204,30,41.91296
205,25,39.309105
206,24,41.512266
207,29,42.188115
208,30,41.871254
209,25,40.395838
210,27,41.511032
211,26,41.339511
212,27,40.964941
213,34,40.512652
214,30,43.347102
215,24,39.997318
216,26,41.113773
217,28,40.494411
218,36,41.494481
219,26,42.48408
220,31,42.861001
221,26,39.505211
222,24,40.605824
223,30,41.055401
224,34,43.958336
225,28,41.958805
226,27,40.277028
227,43,43.155513
228,31,41.399439
229,30,42.757898
230,40,45.030718
231,31,39.86472
232,24,40.089597
233,55,41.415046
234,32,39.285527
235,29,41.511064
236,31,41.263359
237,31,44.606198
238,28,41.296658
239,28,40.810772
240,30,39.948513
241,37,41.939189
242,27,43.529583
243,32,41.445523
244,68,38.485623
245,33,41.482923
246,53,40.269804
247,71,41.628756
248,29,41.877409
249,37,42.571453
250,30,41.858159
251,25,39.347386
252,28,40.538399
253,28,43.100619
254,30,43.360224
255,53,40.898875
256,28,41.316308
257,32,40.483778
258,33,44.291914
259,35,43.212464
260,33,41.383185
261,97,38.968418
262,28,40.785987
263,28,42.55749
264,29,36.386087
265,44,45.552448
266,31,39.505635
267,30,44.192064
268,31,44.288436
269,32,42.130318
270,120,38.505304
271,28,38.632199
272,33,44.224104
273,31,41.588146
274,34,43.056788
275,44,40.434922
276,33,43.596734
277,28,38.673856
278,34,43.088208
279,243,32.87196
280,28,43.37979
281,31,42.787173
282,30,43.263962
283,30,42.655025
284,32,42.74972
285,33,42.195043
286,34,42.654008
287,33,44.302896
288,32,45.439014
289,27,42.646969
290,34,44.972978
291,26,43.712177
292,35,45.141221
293,39,44.767289
294,63,42.49547
295,36,45.634733
296,39,43.591036
297,36,41.705699
298,35,43.200469
299,34,44.071245
300,28,42.348081
301,51,40.74936
302,30,43.424159
303,33,43.828621
304,51,43.34513
305,34,43.977047
306,34,43.952581
307,30,43.662272
308,31,43.068485
309,33,42.088702
310,30,45.010173
311,35,42.187577
312,47,39.471735
313,28,44.920994
314,28,43.762055
315,31,43.340898
316,33,43.024332
317,31,42.860184
318,35,45.183249
319,36,43.926839
320,31,44.40167
321,38,43.023404
322,29,42.113577
323,27,42.9049
324,39,43.34359
325,38,45.165363
326,43,43.464729
327,33,43.870739
328,35,42.738326
329,34,43.933057
330,29,44.345036
331,35,41.289418
332,39,45.334005
333,36,40.716906
334,34,44.457055
335,37,43.330956
336,36,45.818316
337,30,39.531641
338,33,44.023519
339,42,46.05386
340,234,29.092054
341,38,44.242878
342,45,44.242364
343,32,43.981499
344,37,45.486204
345,33,45.162906
346,31,42.612187
347,31,43.338852
348,29,41.035208
349,30,43.151446
350,46,41.66107
351,26,41.83878
352,34,44.509184
353,33,45.029989
354,37,42.004418
355,77,41.919686
356,44,45.861707
357,39,42.019716
358,45,45.760566
359,37,42.5867
360,42,46.33222
361,38,43.818221
362,37,43.451575
363,30,39.953057
364,33,41.056676
365,29,41.257321
366,42,42.490318
367,28,43.261096
368,33,42.690419
369,35,42.871142
370,30,44.983465
371,44,46.229099
372,46,44.08455
373,33,45.399034
374,42,42.281044
375,36,44.487832
376,36,44.310104
377,39,41.233933
378,88,41.247816
379,38,44.988147
380,527,-9.631343
381,32,44.721774
382,33,43.052575
383,34,42.391467
384,39,46.038157
385,36,42.861244
386,31,43.212199
387,40,44.191531
388,32,43.941732
389,33,44.18709
390,39,44.15222
391,35,43.473813
392,37,46.179247
393,44,45.239722
394,40,42.363817
395,34,42.563861
396,38,44.059977
397,33,44.630659
398,37,42.965162
