step,energy,fmax,time
0,-403.4323425292969,6.8677053,0.0
1,-406.15985107421875,4.363864,0.0
2,-406.78143310546875,1.3464351,0.0
3,-407.0487060546875,1.3269182,0.0
4,-407.1896057128906,0.70198834,0.0
5,-407.3237609863281,0.7023772,0.0
6,-407.3988342285156,0.7789732,0.0
7,-407.49163818359375,0.5204928,0.0
8,-407.5338134765625,0.32113108,0.0
9,-407.5615539550781,0.26085648,0.0
10,-407.5818786621094,0.3113343,0.0
11,-407.6012878417969,0.25912404,0.0
12,-407.6158447265625,0.18924621,0.0
13,-407.6282958984375,0.23222673,0.0
14,-407.64080810546875,0.29224995,0.0
15,-407.6552429199219,0.24101166,0.0
16,-407.67010498046875,0.18021467,0.0
17,-407.6841735839844,0.16626404,0.0
18,-407.69677734375,0.24066474,0.0
19,-407.7071228027344,0.21713822,0.0
20,-407.7149658203125,0.1173499,0.0
21,-407.72052001953125,0.09817401,0.0
22,-407.7249450683594,0.14810617,0.0
23,-407.7289123535156,0.14299764,0.0
24,-407.7326965332031,0.09777054,0.0
25,-407.7366027832031,0.09401026,0.0
26,-407.74072265625,0.11264894,0.0
27,-407.74481201171875,0.1366068,0.0
28,-407.7489318847656,0.09271561,0.0
29,-407.7527160644531,0.09764656,0.0
30,-407.75640869140625,0.0941326,0.0
31,-407.7605285644531,0.14501154,0.0
32,-407.7645568847656,0.13750586,0.0
33,-407.7678527832031,0.07720031,0.0
34,-407.7702941894531,0.07558337,0.0
35,-407.7724304199219,0.0787645,0.0
36,-407.7746887207031,0.101685576,0.0
37,-407.7770080566406,0.08838035,0.0
38,-407.7794494628906,0.06736082,0.0
39,-407.7816162109375,0.067600675,0.0
40,-407.7835388183594,0.063973255,0.0
41,-407.7855224609375,0.08763688,0.0
42,-407.787353515625,0.07354511,0.0
43,-407.7889709472656,0.057218175,0.0
44,-407.7904357910156,0.057046257,0.0
45,-407.7919921875,0.073035024,0.0
46,-407.7937316894531,0.075828955,0.0
47,-407.7953186035156,0.045713745,0.0
