step,energy,fmax,time
0,-633.6755981445312,9.347005,0.37320637702941895
1,-634.3766479492188,8.934612,0.38820672035217285
2,-635.0488891601562,8.537459,0.39816951751708984
3,-635.64599609375,8.225296,0.34273242950439453
4,-636.2216796875,7.8415217,0.3587336540222168
5,-636.7361450195312,7.4041295,0.3877103328704834
6,-637.2005615234375,7.1545134,0.3876354694366455
7,-637.628173828125,6.6104045,0.41394519805908203
8,-638.0023193359375,6.0927396,0.373396635055542
9,-638.321044921875,5.767816,0.3746182918548584
10,-638.6235961914062,5.270237,0.36446380615234375
11,-638.91845703125,4.9929996,0.36678600311279297
12,-639.1631469726562,4.5713496,0.41928768157958984
13,-639.4073486328125,4.145417,0.365772008895874
14,-639.6079711914062,3.736999,0.34956955909729004
15,-639.7940063476562,3.164901,0.3449695110321045
16,-639.9344482421875,2.9923604,0.3575301170349121
17,-640.0806274414062,2.6908464,0.3926842212677002
18,-640.2011108398438,2.410217,0.3606441020965576
19,-640.2933959960938,2.2649941,0.3792736530303955
20,-640.3833618164062,2.2270532,0.3585696220397949
21,-640.46484375,2.0473163,0.37189531326293945
22,-640.5321655273438,2.0019403,0.3934352397918701
23,-640.5964965820312,1.9313185,0.4029862880706787
24,-640.65771484375,1.8385888,0.3781776428222656
25,-640.7062377929688,1.7585366,0.3589181900024414
26,-640.743896484375,1.6217101,0.379622220993042
27,-640.7755737304688,1.5205691,0.39917421340942383
28,-640.8047485351562,1.4870033,0.3939986228942871
29,-640.8322143554688,1.3483071,0.38739824295043945
30,-640.8574829101562,1.2197793,0.3862919807434082
31,-640.8740234375,1.2515175,0.4314260482788086
32,-640.8939208984375,1.0692018,0.3930034637451172
33,-640.9097900390625,0.94624513,0.4010460376739502
34,-640.9232177734375,0.7929412,0.3675351142883301
35,-640.9342651367188,0.65836805,0.4311363697052002
36,-640.9437255859375,0.51246834,0.3865392208099365
37,-640.9519653320312,0.4134103,0.36296558380126953
38,-640.9592895507812,0.34087297,0.37866973876953125
39,-640.9651489257812,0.3407372,0.4056665897369385
40,-640.9705810546875,0.22410531,0.34786534309387207
41,-640.9746704101562,0.21496016,0.3914186954498291
42,-640.9785766601562,0.1808487,0.4063231945037842
43,-640.9818115234375,0.1642757,0.38875603675842285
44,-640.98486328125,0.15845086,0.4171273708343506
45,-640.9874877929688,0.14106175,0.36957883834838867
46,-640.9898681640625,0.1352815,0.3786499500274658
47,-640.9923095703125,0.13739924,0.399399995803833
