step,energy,fmax,time
0,-496.0517578125,9.42577,0.0
1,-500.230712890625,4.4677396,0.0
2,-501.3388366699219,1.186242,0.0
3,-501.5989990234375,0.826949,0.0
4,-501.7277526855469,0.5855747,0.0
5,-501.7906188964844,0.29027668,0.0
6,-501.8138732910156,0.21087615,0.0
7,-501.8355712890625,0.19682567,0.0
8,-501.84930419921875,0.19245794,0.0
9,-501.8597106933594,0.14426166,0.0
10,-501.86724853515625,0.12925631,0.0
11,-501.8735046386719,0.1134502,0.0
12,-501.8788757324219,0.1189017,0.0
13,-501.883544921875,0.11148203,0.0
14,-501.8883056640625,0.09007103,0.0
15,-501.89215087890625,0.08358708,0.0
16,-501.8952331542969,0.08621669,0.0
17,-501.89776611328125,0.08152771,0.0
18,-501.9002685546875,0.08052575,0.0
19,-501.90277099609375,0.08470276,0.0
20,-501.9047546386719,0.07163757,0.0
21,-501.90655517578125,0.05079677,0.0
22,-501.9080505371094,0.05618001,0.0
23,-501.909423828125,0.06370814,0.0
24,-501.9107666015625,0.055348642,0.0
25,-501.91217041015625,0.0647896,0.0
26,-501.9135437011719,0.049873102,0.0
