step,energy,fmax,time
0,-678.030029296875,11.1472225,0.0
1,-684.4292602539062,6.2198186,0.0
2,-686.2702026367188,2.0198927,0.0
3,-686.6868286132812,1.2022443,0.0
4,-686.8674926757812,0.7777059,0.0
5,-686.9861450195312,0.42077667,0.0
6,-687.0264892578125,0.24940002,0.0
7,-687.0718383789062,0.21900308,0.0
8,-687.0922241210938,0.17201221,0.0
9,-687.1061401367188,0.15739752,0.0
10,-687.1141357421875,0.12576717,0.0
11,-687.1195678710938,0.10270715,0.0
12,-687.1238403320312,0.078841954,0.0
13,-687.127197265625,0.0693653,0.0
14,-687.1295166015625,0.06846894,0.0
15,-687.1318359375,0.066039085,0.0
16,-687.133544921875,0.045926988,0.0
