step,energy,fmax,time
0,-679.8485717773438,9.158203,0.37605881690979004
1,-680.6013793945312,8.542551,0.37630724906921387
2,-681.2543334960938,8.207119,0.3336374759674072
3,-681.8779296875,7.7815046,0.3275413513183594
4,-682.4713134765625,7.354184,0.3906264305114746
5,-682.985107421875,7.0046816,0.4027698040008545
6,-683.4442138671875,6.581374,0.40073394775390625
7,-683.8156127929688,6.25612,0.4066731929779053
8,-684.1592407226562,5.9346347,0.370328426361084
9,-684.4558715820312,5.6253824,0.32874107360839844
10,-684.748046875,5.258994,0.39290738105773926
11,-684.9985961914062,4.945228,0.3513517379760742
12,-685.2474365234375,4.866068,0.353961706161499
13,-685.4420166015625,4.7407107,0.40967798233032227
14,-685.62890625,4.672578,0.418668270111084
15,-685.8048706054688,4.50174,0.38553357124328613
16,-685.9549560546875,4.332796,0.3805248737335205
17,-686.0813598632812,4.1491327,0.3571152687072754
18,-686.1941528320312,4.0171914,0.4057438373565674
19,-686.3004760742188,3.838446,0.38677072525024414
20,-686.3832397460938,3.6925945,0.39525890350341797
21,-686.4710693359375,3.4787915,0.3937416076660156
22,-686.5436401367188,3.2870312,0.3804771900177002
23,-686.6140747070312,3.099718,0.4095625877380371
24,-686.66748046875,2.9425793,0.4242262840270996
25,-686.7178955078125,2.855534,0.40994882583618164
26,-686.7636108398438,2.6887543,0.4173762798309326
27,-686.808837890625,2.4933817,0.38640522956848145
28,-686.8484497070312,2.2746623,0.3272392749786377
29,-686.8759155273438,2.1708171,0.3863232135772705
30,-686.9041748046875,2.0755832,0.39261746406555176
31,-686.9297485351562,1.8966978,0.3811314105987549
32,-686.956298828125,1.6501205,0.3554213047027588
33,-686.9799194335938,1.4236028,0.39778757095336914
34,-686.9992065429688,1.2391285,0.37810254096984863
35,-687.0140991210938,1.0651699,0.4095332622528076
36,-687.0277709960938,0.861491,0.3574256896972656
37,-687.0391845703125,0.7387057,0.38730764389038086
38,-687.0488891601562,0.5593165,0.42046403884887695
39,-687.0574951171875,0.37423718,0.4219353199005127
40,-687.0640869140625,0.2828862,0.418271541595459
41,-687.0697631835938,0.22123188,0.3614234924316406
42,-687.074951171875,0.19203815,0.3705482482910156
43,-687.079345703125,0.16829947,0.3752114772796631
44,-687.0833129882812,0.15626141,0.3783726692199707
45,-687.0867919921875,0.15733692,0.37874650955200195
46,-687.0899047851562,0.152437,0.36133313179016113
47,-687.0925903320312,0.13913378,0.39176082611083984
48,-687.0951538085938,0.14005138,0.3793058395385742
