step,energy,fmax,time
0,-645.9273071289062,10.665111,0.38089895248413086
1,-646.5548095703125,10.21223,0.3956491947174072
2,-647.133544921875,9.750179,0.4159581661224365
3,-647.6455078125,9.543656,0.4598863124847412
4,-648.105712890625,9.2643175,0.44704437255859375
5,-648.5006103515625,8.963369,0.4779026508331299
6,-648.8585205078125,8.726253,0.45320749282836914
7,-649.1904907226562,8.504405,0.44571948051452637
8,-649.4647216796875,8.378607,0.42171192169189453
9,-649.7076416015625,8.148371,0.43698549270629883
10,-649.9207763671875,7.9324307,0.4872260093688965
11,-650.10791015625,7.7416797,0.45026636123657227
12,-650.275146484375,7.563716,0.44220995903015137
13,-650.4328002929688,7.294169,0.4890937805175781
14,-650.569091796875,6.982031,0.4570300579071045
15,-650.6917114257812,6.767422,0.40905070304870605
16,-650.8203125,6.4305935,0.4493720531463623
17,-650.91259765625,6.270774,0.4544706344604492
18,-650.9956665039062,6.12554,0.454420804977417
19,-651.08251953125,5.811177,0.42894816398620605
20,-651.149658203125,5.6137037,0.4120473861694336
21,-651.2203369140625,5.312575,0.36722421646118164
22,-651.2584838867188,5.321291,0.4484565258026123
23,-651.3182373046875,5.099107,0.4392576217651367
24,-651.3663330078125,4.8304877,0.4473891258239746
25,-651.4146118164062,4.5466027,0.4299168586730957
26,-651.463623046875,4.2615404,0.37029123306274414
27,-651.5056762695312,3.9221835,0.4217662811279297
28,-651.544677734375,3.6202908,0.4352436065673828
29,-651.572998046875,3.458046,0.4139714241027832
30,-651.6000366210938,3.29324,0.4409337043762207
31,-651.6305541992188,2.990764,0.4057784080505371
32,-651.66015625,2.6887558,0.4211561679840088
33,-651.6844482421875,2.467831,0.44866371154785156
34,-651.7048950195312,2.3057377,0.46500325202941895
35,-651.726318359375,1.9687716,0.45276856422424316
36,-651.7452392578125,1.7200131,0.4587438106536865
37,-651.7606201171875,1.5817149,0.3750801086425781
38,-651.7743530273438,1.3565134,0.37848424911499023
39,-651.7867431640625,1.2078711,0.40039896965026855
40,-651.7938232421875,1.2030461,0.4432647228240967
41,-651.802490234375,1.0419804,0.4329822063446045
42,-651.811767578125,0.8670977,0.42641353607177734
43,-651.818115234375,0.8182573,0.35339999198913574
44,-651.8262329101562,0.69017094,0.40871357917785645
45,-651.8333129882812,0.47168967,0.4165616035461426
46,-651.83935546875,0.36676836,0.44196391105651855
47,-651.8449096679688,0.24937728,0.4441561698913574
48,-651.85009765625,0.20316578,0.4395561218261719
49,-651.855224609375,0.17921457,0.42770981788635254
50,-651.8597412109375,0.17707969,0.37473320960998535
51,-651.8637084960938,0.17931917,0.4092984199523926
52,-651.86767578125,0.1800612,0.4260399341583252
53,-651.8714599609375,0.16851686,0.4235556125640869
54,-651.875,0.17018276,0.40598630905151367
55,-651.8783569335938,0.1616423,0.3905982971191406
56,-651.8816528320312,0.15368058,0.3482091426849365
57,-651.8849487304688,0.14237155,0.3832433223724365
58,-651.8876342773438,0.14889248,0.3675401210784912
59,-651.8905639648438,0.13514562,0.38930225372314453
60,-651.8931274414062,0.15199134,0.42835474014282227
61,-651.8958740234375,0.13566945,0.3979799747467041
62,-651.8983154296875,0.13522103,0.40521883964538574
63,-651.900634765625,0.12944645,0.40340113639831543
