step,energy,fmax,time
0,-773.9992065429688,1.1348515,0.0
1,-774.0321044921875,2.4053159,0.0
2,-774.1748657226562,0.71342766,0.0
3,-774.3010864257812,0.69804853,0.0
4,-774.39697265625,0.831297,0.0
5,-774.434326171875,0.40704146,0.0
6,-774.4584350585938,0.24035092,0.0
7,-774.4765014648438,0.5901721,0.0
8,-774.4867553710938,0.95442796,0.0
9,-774.5020751953125,0.29950604,0.0
10,-774.5186157226562,0.5882974,0.0
11,-774.543701171875,0.688572,0.0
12,-774.553955078125,0.5122929,0.0
13,-774.560791015625,0.52937835,0.0
14,-774.5678100585938,0.6041418,0.0
15,-774.57568359375,0.48993033,0.0
16,-774.5960693359375,0.110342205,0.0
17,-774.6021728515625,0.17535833,0.0
18,-774.607666015625,0.47850353,0.0
19,-774.61083984375,0.4244114,0.0
20,-774.614501953125,0.15012652,0.0
21,-774.62060546875,0.2754199,0.0
22,-774.6258544921875,0.3888145,0.0
23,-774.6317138671875,0.2888513,0.0
24,-774.6353759765625,0.07567558,0.0
25,-774.63916015625,0.15612407,0.0
26,-774.642822265625,0.26756206,0.0
27,-774.646240234375,0.22603239,0.0
28,-774.64892578125,0.083340555,0.0
29,-774.6505737304688,0.0673889,0.0
