step,energy,fmax,time
0,-485.4394836425781,0.81812966,0.0
1,-485.4951171875,0.30551136,0.0
2,-485.5178527832031,0.29944694,0.0
3,-485.5484619140625,0.28097117,0.0
4,-485.5699768066406,0.24782291,0.0
5,-485.5888366699219,0.20618227,0.0
6,-485.6016845703125,0.16239391,0.0
7,-485.61236572265625,0.15459679,0.0
8,-485.62225341796875,0.17407541,0.0
9,-485.63189697265625,0.16023842,0.0
10,-485.64019775390625,0.1374721,0.0
11,-485.64764404296875,0.103274964,0.0
12,-485.6545715332031,0.09354154,0.0
13,-485.66094970703125,0.105904914,0.0
14,-485.6659240722656,0.0773727,0.0
15,-485.6693115234375,0.07696504,0.0
16,-485.67193603515625,0.06968127,0.0
