step,energy,fmax,time
0,-409.4013977050781,1.5800655,0.0
1,-409.45941162109375,1.8789395,0.0
2,-409.5064697265625,0.8743825,0.0
3,-409.54595947265625,0.5807599,0.0
4,-409.59576416015625,0.52047485,0.0
5,-409.6336975097656,0.55000436,0.0
6,-409.6656188964844,0.40597835,0.0
7,-409.7025451660156,0.2777422,0.0
8,-409.7354431152344,0.31407017,0.0
9,-409.7554626464844,0.3594225,0.0
10,-409.77252197265625,0.4777757,0.0
11,-409.7874450683594,0.7244106,0.0
12,-409.8074035644531,0.3363439,0.0
13,-409.8316345214844,0.34795466,0.0
14,-409.8441467285156,0.19314338,0.0
15,-409.8565979003906,0.17599533,0.0
16,-409.8692932128906,0.2830456,0.0
17,-409.8795471191406,0.2642541,0.0
18,-409.8874206542969,0.1276368,0.0
19,-409.8948974609375,0.13938448,0.0
20,-409.9021911621094,0.21482116,0.0
21,-409.90972900390625,0.19593386,0.0
22,-409.9173583984375,0.1353358,0.0
23,-409.92498779296875,0.14702083,0.0
24,-409.9326171875,0.14151622,0.0
25,-409.94036865234375,0.12515211,0.0
26,-409.94842529296875,0.14056778,0.0
27,-409.95611572265625,0.14153518,0.0
28,-409.9632263183594,0.13160187,0.0
29,-409.969482421875,0.122188546,0.0
30,-409.9755554199219,0.13451003,0.0
31,-409.981689453125,0.1362463,0.0
32,-409.9870300292969,0.11268936,0.0
33,-409.9913024902344,0.088401236,0.0
34,-409.9951171875,0.09916697,0.0
35,-409.99884033203125,0.114123136,0.0
36,-410.0027770996094,0.117408544,0.0
37,-410.0068664550781,0.13351671,0.0
38,-410.01080322265625,0.12768432,0.0
39,-410.01513671875,0.10163371,0.0
40,-410.0189514160156,0.08678047,0.0
41,-410.02215576171875,0.085270785,0.0
42,-410.0242919921875,0.06623014,0.0
43,-410.02581787109375,0.07236656,0.0
44,-410.0268859863281,0.058069665,0.0
45,-410.0275573730469,0.04244974,0.0
