step,energy,fmax,time
0,-409.4414978027344,1.1740211,0.2770116329193115
1,-409.4696350097656,0.838622,0.23035550117492676
2,-409.4890441894531,0.596511,0.2628359794616699
3,-409.50732421875,0.49319732,0.292982816696167
4,-409.5200500488281,0.4769649,0.23179340362548828
5,-409.5315856933594,0.4616075,0.2722890377044678
6,-409.54241943359375,0.4479496,0.3208765983581543
7,-409.55194091796875,0.44526944,0.2674076557159424
8,-409.5602111816406,0.4470273,0.2602560520172119
9,-409.5679626464844,0.43543145,0.27121615409851074
10,-409.57562255859375,0.44069827,0.3095734119415283
11,-409.5821533203125,0.44003236,0.29849886894226074
12,-409.58929443359375,0.42050517,0.2556285858154297
13,-409.595947265625,0.41796702,0.2793445587158203
14,-409.6019287109375,0.41515565,0.29554247856140137
15,-409.60723876953125,0.41895828,0.2514476776123047
16,-409.6128845214844,0.39385208,0.2511177062988281
17,-409.6187744140625,0.39428586,0.31663012504577637
18,-409.623779296875,0.38129392,0.2960832118988037
19,-409.6287536621094,0.38875866,0.24983477592468262
20,-409.6333923339844,0.3733497,0.28490209579467773
21,-409.6380310058594,0.36957243,0.29105424880981445
22,-409.64239501953125,0.3574066,0.32434749603271484
23,-409.64654541015625,0.3671518,0.2369687557220459
24,-409.6507873535156,0.34804922,0.26685047149658203
25,-409.6541748046875,0.3595287,0.3207125663757324
26,-409.6585388183594,0.34502766,0.2964813709259033
27,-409.6614990234375,0.36573413,0.28839659690856934
28,-409.6661071777344,0.33533037,0.2242422103881836
29,-409.6697998046875,0.325753,0.3109920024871826
30,-409.6738586425781,0.33195734,0.31531739234924316
31,-409.6768493652344,0.3246334,0.23796796798706055
32,-409.6805419921875,0.3141306,0.27254509925842285
33,-409.6838684082031,0.30806065,0.29335594177246094
34,-409.6871643066406,0.3076159,0.3087141513824463
35,-409.6903076171875,0.2996767,0.22266125679016113
36,-409.69329833984375,0.30154517,0.27259278297424316
37,-409.69610595703125,0.29205334,0.2928428649902344
38,-409.6992492675781,0.29882783,0.2397630214691162
39,-409.7018127441406,0.28739226,0.29068613052368164
40,-409.70501708984375,0.28626952,0.28652095794677734
41,-409.70733642578125,0.28452238,0.32854747772216797
42,-409.710205078125,0.2803241,0.2603621482849121
43,-409.7129821777344,0.27238226,0.25201892852783203
44,-409.7156677246094,0.27434096,0.31000542640686035
45,-409.71826171875,0.26749453,0.30060315132141113
46,-409.7207336425781,0.26724565,0.24996590614318848
47,-409.7230529785156,0.26195738,0.2438948154449463
48,-409.72552490234375,0.2574046,0.31908154487609863
49,-409.7281494140625,0.26875103,0.2623157501220703
50,-409.73028564453125,0.25509113,0.24039387702941895
51,-409.7325439453125,0.2518078,0.2657194137573242
52,-409.7349548339844,0.25026855,0.2711186408996582
53,-409.7367858886719,0.24931136,0.25673770904541016
54,-409.7389831542969,0.24277258,0.26572346687316895
55,-409.74114990234375,0.24913219,0.32643771171569824
56,-409.74322509765625,0.23691666,0.27065420150756836
57,-409.7454833984375,0.23352377,0.2868664264678955
58,-409.74755859375,0.22773878,0.24539661407470703
59,-409.74951171875,0.23188518,0.3236250877380371
60,-409.7518310546875,0.23779,0.28797340393066406
61,-409.75372314453125,0.2231655,0.2630655765533447
62,-409.75555419921875,0.23622966,0.2755260467529297
63,-409.7573547363281,0.21710116,0.26706361770629883
64,-409.7593688964844,0.21907079,0.22327256202697754
65,-409.76116943359375,0.21289347,0.26218080520629883
66,-409.7630310058594,0.22297388,0.3248016834259033
67,-409.7649230957031,0.20736776,0.26691174507141113
