step,energy,fmax,time
0,-642.7400512695312,0.38768014,0.40715575218200684
1,-642.7587280273438,0.3414931,0.44141387939453125
2,-642.7708129882812,0.31571227,0.34407877922058105
3,-642.7807006835938,0.29795676,0.42380833625793457
4,-642.7893676757812,0.27104828,0.39495205879211426
5,-642.7965698242188,0.2613946,0.4789416790008545
6,-642.8035278320312,0.23664886,0.458392858505249
7,-642.8098754882812,0.21962936,0.45371294021606445
8,-642.8155517578125,0.20506644,0.4926164150238037
9,-642.8208618164062,0.19190587,0.46680521965026855
