step,energy,fmax,time
0,-505.07659912109375,0.7762945,0.0
1,-505.12359619140625,0.38183665,0.0
2,-505.147216796875,0.32280266,0.0
3,-505.1714782714844,0.16277054,0.0
4,-505.1814270019531,0.20085828,0.0
5,-505.19256591796875,0.14415826,0.0
6,-505.2018737792969,0.1416316,0.0
7,-505.2133483886719,0.17390701,0.0
8,-505.22418212890625,0.17059666,0.0
9,-505.234619140625,0.15035401,0.0
10,-505.24359130859375,0.12653358,0.0
11,-505.251220703125,0.115286894,0.0
12,-505.2581787109375,0.116354965,0.0
13,-505.2647705078125,0.12291455,0.0
14,-505.27093505859375,0.123966746,0.0
15,-505.275634765625,0.07751519,0.0
16,-505.279296875,0.070203274,0.0
17,-505.2825927734375,0.070889235,0.0
18,-505.2864990234375,0.09991989,0.0
19,-505.29107666015625,0.11220384,0.0
20,-505.295654296875,0.118413426,0.0
21,-505.300048828125,0.11098097,0.0
22,-505.3045959472656,0.09251184,0.0
23,-505.3094787597656,0.10862524,0.0
24,-505.3150329589844,0.09957517,0.0
25,-505.31976318359375,0.093166634,0.0
26,-505.3233642578125,0.07155256,0.0
27,-505.3264465332031,0.06956207,0.0
