step,energy,fmax,time
0,-760.1525268554688,0.46558228,0.0
1,-760.1724853515625,0.2611494,0.0
2,-760.182861328125,0.15950342,0.0
3,-760.1941528320312,0.20388669,0.0
4,-760.20166015625,0.13348795,0.0
5,-760.208984375,0.13616268,0.0
6,-760.2156982421875,0.1415385,0.0
7,-760.224609375,0.12813617,0.0
8,-760.2335205078125,0.14132325,0.0
9,-760.2413330078125,0.1433045,0.0
10,-760.247802734375,0.11842466,0.0
11,-760.2540283203125,0.121023536,0.0
12,-760.2611083984375,0.14603394,0.0
13,-760.2694091796875,0.14254041,0.0
14,-760.2762451171875,0.10553535,0.0
15,-760.2818603515625,0.0775973,0.0
16,-760.285888671875,0.07135403,0.0
17,-760.2894287109375,0.090084106,0.0
18,-760.2918701171875,0.06871483,0.0
