step,energy,fmax,time
0,-628.8633422851562,0.88750356,0.0
1,-628.897705078125,0.31682238,0.0
2,-628.9102783203125,0.18188772,0.0
3,-628.9268188476562,0.19747753,0.0
4,-628.9385986328125,0.23552027,0.0
5,-628.9523315429688,0.16515484,0.0
6,-628.9601440429688,0.1278572,0.0
7,-628.9671630859375,0.14089377,0.0
8,-628.973876953125,0.12633066,0.0
9,-628.9815063476562,0.113163,0.0
10,-628.989501953125,0.09648524,0.0
11,-628.9962768554688,0.096597925,0.0
12,-629.0009765625,0.07345949,0.0
13,-629.0042114257812,0.07211622,0.0
14,-629.0067749023438,0.052677874,0.0
