step,energy,fmax,time
0,-626.9291381835938,0.74595296,0.0
1,-626.9852294921875,0.27078903,0.0
2,-627.0070190429688,0.23431356,0.0
3,-627.0324096679688,0.21885264,0.0
4,-627.046630859375,0.21651512,0.0
5,-627.0703735351562,0.18192393,0.0
6,-627.0899658203125,0.16265821,0.0
7,-627.109619140625,0.13891095,0.0
8,-627.1270751953125,0.16918965,0.0
9,-627.14404296875,0.15790254,0.0
10,-627.1607055664062,0.18905059,0.0
11,-627.1775512695312,0.2131236,0.0
12,-627.1939697265625,0.20286717,0.0
13,-627.2081909179688,0.15383317,0.0
14,-627.2190551757812,0.09229371,0.0
15,-627.2272338867188,0.11447131,0.0
16,-627.2344360351562,0.09658471,0.0
17,-627.2408447265625,0.08342018,0.0
18,-627.2466430664062,0.09085838,0.0
19,-627.2515869140625,0.083101004,0.0
20,-627.2562255859375,0.07209556,0.0
21,-627.2606201171875,0.068091266,0.0
