step,energy,fmax,time
0,-411.2172546386719,0.705649,0.0
1,-411.23968505859375,0.24512362,0.0
2,-411.24920654296875,0.16398372,0.0
3,-411.2594299316406,0.16501738,0.0
4,-411.2657775878906,0.17098781,0.0
5,-411.275146484375,0.16316164,0.0
6,-411.2799377441406,0.09640168,0.0
7,-411.2828063964844,0.0993687,0.0
8,-411.2851257324219,0.108590804,0.0
9,-411.287353515625,0.068093926,0.0
10,-411.2891845703125,0.060130633,0.0
11,-411.2906188964844,0.059340335,0.0
12,-411.2918701171875,0.07677202,0.0
13,-411.293212890625,0.06303486,0.0
14,-411.29437255859375,0.054002944,0.0
15,-411.29541015625,0.046279654,0.0
