step,energy,fmax,time
0,-737.1051025390625,0.6942436,0.4661071300506592
1,-737.1404418945312,0.61062115,0.49770379066467285
2,-737.17041015625,0.5216197,0.47333526611328125
3,-737.1912231445312,0.47339717,0.5066874027252197
4,-737.2115478515625,0.38918397,0.5040132999420166
5,-737.227783203125,0.3399758,0.48285913467407227
6,-737.2413330078125,0.2908958,0.42409586906433105
7,-737.2529296875,0.26901042,0.49840497970581055
8,-737.2630004882812,0.26462403,0.5247671604156494
9,-737.2723999023438,0.26075634,0.49454188346862793
10,-737.2803955078125,0.2563449,0.4879288673400879
11,-737.2880859375,0.2525923,0.531914472579956
12,-737.2951049804688,0.248611,0.4833974838256836
13,-737.3014526367188,0.24403203,0.4512064456939697
14,-737.3076782226562,0.23985083,0.49849748611450195
15,-737.313232421875,0.23588488,0.45712971687316895
16,-737.318603515625,0.23595235,0.5098516941070557
17,-737.3234252929688,0.23116909,0.5202431678771973
18,-737.328369140625,0.22748882,0.46009302139282227
19,-737.3330078125,0.22325945,0.4767422676086426
20,-737.3375854492188,0.21920733,0.4738471508026123
21,-737.3418579101562,0.21614064,0.5181295871734619
22,-737.3458251953125,0.21207233,0.5075094699859619
23,-737.349853515625,0.2079541,0.4801006317138672
24,-737.3533935546875,0.20401506,0.5117497444152832
25,-737.357177734375,0.20086099,0.4683985710144043
