step,energy,fmax,time
0,-418.79791259765625,0.77686185,0.0
1,-418.8421630859375,0.27076092,0.0
2,-418.8616638183594,0.23189709,0.0
3,-418.8864440917969,0.21002872,0.0
4,-418.9017333984375,0.20314188,0.0
5,-418.9190673828125,0.20670152,0.0
6,-418.9370422363281,0.21315594,0.0
7,-418.9566955566406,0.20657544,0.0
8,-418.97479248046875,0.17934532,0.0
9,-418.9912109375,0.18271099,0.0
10,-419.0064697265625,0.16239262,0.0
11,-419.0215759277344,0.14563744,0.0
12,-419.03656005859375,0.14157061,0.0
13,-419.0506591796875,0.17179467,0.0
14,-419.06201171875,0.14470173,0.0
15,-419.06951904296875,0.09866332,0.0
16,-419.073974609375,0.082638495,0.0
17,-419.0768737792969,0.06635856,0.0
