episode,step,return
0,47,29.007358
1,30,33.711087
2,74,34.889041
3,17,31.808718
4,21,33.30723
5,19,30.345501
6,22,33.29118
7,22,32.196643
8,38,33.742889
9,24,28.773068
10,53,32.840368
11,21,30.744105
12,31,34.372934
13,24,33.226451
14,27,32.903926
15,24,32.861438
16,30,32.864383
17,36,34.187814
18,20,35.091301
19,26,32.901746
20,22,30.731323
21,25,35.218747
22,47,30.491097
23,21,32.933683
24,36,31.648248
25,24,34.058133
26,30,34.033343
27,37,35.517919
28,25,34.809686
29,45,31.161192
30,31,32.672101
31,23,33.521659
32,24,35.191585
33,25,34.949344
34,55,33.630146
35,25,32.842382
36,58,33.020641
37,29,33.378743
38,25,33.59465
39,25,34.471311
40,24,33.702476
41,27,33.725457
42,24,36.724266
43,38,30.135662
44,33,35.04876
45,29,31.337923
46,27,31.637257
47,20,29.949802
48,28,32.998523
49,27,37.525155
50,27,33.390837
51,31,35.104312
52,26,33.419617
53,79,36.130319
54,22,32.163297
55,34,35.076918
56,31,33.432023
57,40,36.587098
58,27,35.316408
59,27,34.526553
60,29,33.874725
61,27,34.677995
62,28,35.041031
63,35,32.37983
64,77,36.283657
65,34,34.308844
66,38,34.244897
67,36,34.308706
68,29,35.957016
69,47,34.614342
70,52,37.089012
71,29,34.10236
72,32,33.373036
73,63,34.583427
74,38,32.868167
75,27,34.910969
76,31,33.859554
77,28,35.999361
78,25,34.470262
79,29,34.625523
80,38,34.29551
81,27,34.159735
82,42,37.610258
83,32,33.919136
84,27,35.817774
85,37,35.81745
86,31,34.572008
87,32,35.037381
88,31,37.833813
89,24,32.733333
90,25,32.396646
91,24,33.895725
92,28,32.868727
93,32,33.599235
94,29,36.774071
95,29,36.644788
96,281,37.788137
97,39,36.839269
98,43,35.730862
99,36,35.319502
100,42,36.410779
101,40,35.821994
102,38,35.86529
103,29,35.443057
104,61,38.028248
105,28,34.375308
106,33,35.758127
107,32,36.890547
108,34,34.98834
109,32,33.926166
110,78,36.49211
111,56,37.584741
112,81,32.272559
113,188,36.210445
114,32,36.87834
115,361,40.25992
116,99,37.88837
117,46,35.022211
118,29,38.461268
119,30,32.973075
120,35,33.565185
121,29,34.461888
122,57,36.804392
123,28,35.876141
124,36,37.543252
125,33,37.173952
126,89,35.446725
127,32,36.318869
128,31,34.420278
129,77,37.339902
130,34,36.14138
131,39,36.095162
132,70,38.831914
133,33,35.110669
134,46,35.444239
135,33,33.712098
136,28,34.907753
137,33,33.254085
138,41,37.572918
139,32,35.081309
140,33,35.878083
141,41,37.222095
142,30,36.992336
143,33,36.71442
144,74,35.45051
145,35,33.831269
146,33,35.44631
147,29,34.200071
148,70,36.534431
149,41,36.248994
150,30,33.638946
151,510,25.466206
152,34,38.912343
153,33,30.460321
154,36,38.855514
155,34,37.093061
156,33,35.567136
157,40,35.45864
158,100,40.172302
159,37,38.349527
160,35,37.414205
161,35,36.962328
162,34,37.690587
163,56,40.127151
164,35,39.963722
165,40,39.220074
166,55,37.205139
167,38,37.05293
168,43,39.609173
169,55,37.851739
170,31,33.590435
171,108,37.28346
172,39,37.733591
173,36,36.439363
174,34,36.87829
175,39,37.99013
176,34,39.417411
177,32,37.630989
178,103,37.37882
179,43,38.251737
180,35,37.474282
181,42,38.086064
182,49,38.724587
183,40,37.951955
184,35,37.343473
185,32,37.212102
186,37,38.416635
187,33,37.274728
188,36,39.483468
189,37,37.588491
190,42,40.090878
191,47,37.390104
192,33,37.101512
193,37,36.544525
194,94,37.425514
195,42,36.680423
196,35,33.770291
197,86,36.87226
198,60,38.356692
199,39,34.516865
200,34,34.108535
201,33,38.1201
202,41,39.177244
203,36,35.81059
204,35,37.301645
205,116,35.169252
206,37,33.465619
207,39,36.17332
208,42,38.307458
209,36,35.752184
210,35,37.333903
211,44,38.114331
212,42,39.789167
213,44,37.552444
214,36,38.081312
215,39,38.161626
216,41,39.156802
217,48,39.655814
218,46,37.500915
219,67,40.524587
220,36,36.731879
221,43,38.206776
222,46,40.523059
223,63,40.202313
224,51,39.04509
225,46,39.194216
226,48,38.132168
227,32,36.010629
228,69,38.93908
229,42,37.96477
230,35,35.841102
231,31,38.271094
232,42,39.689232
233,53,37.233415
234,43,40.41206
235,57,36.243793
236,50,39.881297
237,54,34.982742
238,46,38.87843
239,57,38.793008
240,52,33.217065
241,37,37.873598
242,34,38.301201
243,40,37.320687
244,36,37.11432
245,43,38.344966
246,46,41.57968
247,46,37.68787
248,50,40.968884
249,51,38.181486
250,38,37.302497
251,38,38.86108
252,51,40.148586
253,152,33.93312
254,41,40.626775
255,43,39.306497
256,65,35.99675
257,45,38.859559
258,66,36.123319
259,52,37.982584
260,52,37.708944
261,48,40.741064
262,665,36.285722
263,45,38.852913
264,54,38.455275
265,41,37.672978
266,46,38.663604
267,38,39.268764
268,43,40.728392
269,52,39.474383
270,47,39.775717
271,46,40.587196
272,45,39.22736
273,51,36.747741
274,85,37.330436
275,89,39.715448
276,49,40.103959
277,51,37.314332
278,49,38.434047
279,57,37.504886
280,58,40.918048
281,60,34.820045
282,52,38.443652
283,73,41.784444
284,47,39.807643
285,51,39.879273
286,57,34.45706
287,46,38.152768
288,47,40.874222
289,58,39.442579
290,54,40.476101
291,49,38.25922
292,54,37.010201
293,44,37.992858
294,52,38.741503
295,54,40.33173
296,54,38.779841
297,70,41.42515
298,93,38.502527
299,48,38.830947
300,72,40.67123
301,56,42.016626
302,54,41.149576
303,53,37.987913
304,50,39.236654
305,56,35.658281
306,62,41.098735
307,59,36.844507
308,51,39.895935
309,47,38.417795
310,51,37.708082
311,40,36.491039
312,46,37.173497
313,67,37.846042
314,55,40.606145
315,55,36.846621
316,50,38.337424
317,67,40.714408
318,64,39.312193
319,71,42.783085
320,49,41.331339
321,60,40.995513
322,749,24.000097
323,53,41.589649
324,42,38.54028
325,56,38.467979
326,69,40.829784
327,49,39.860103
328,55,41.004821
329,48,37.279431
330,51,38.960566
331,59,40.493482
332,46,37.896894
333,88,40.356879
334,56,40.435568
335,73,36.247254
336,62,40.573352
337,54,37.347428
338,58,41.279215
339,77,40.055723
340,67,38.307618
341,56,42.040934
342,54,40.394311
343,68,40.352962
344,56,42.123235
345,50,37.789018
346,53,37.002829
347,53,39.498433
348,84,41.962303
349,56,40.68503
350,44,39.58731
351,52,41.124958
352,56,38.465088
353,66,37.810484
354,47,36.3637
355,54,37.240198
356,49,37.640414
357,66,41.43833
358,51,40.721546
359,56,41.967143
360,57,42.106193
361,67,40.57694
362,58,41.054363
363,59,41.581514
364,63,40.950242
365,74,39.866102
366,98,40.187137
367,56,42.082876
368,108,38.416826
369,64,38.149687
370,47,41.767501
371,87,43.039506
372,60,39.042426
373,86,42.79561
374,61,41.329339
375,56,41.241323
376,59,40.737194
377,60,37.274897
378,50,41.273791
379,57,40.053775
380,51,37.845781
381,60,40.765975
382,79,40.871811
383,59,38.51514
384,52,32.833392
385,53,39.867488
386,63,39.364891
387,59,39.038026
388,55,38.915987
389,49,39.731485
390,56,40.148859
391,67,39.254274
392,61,40.008731
393,50,40.520487
394,65,39.335222
395,63,38.14441
396,77,42.82167
397,62,39.648312
398,56,39.911381
399,60,39.1154
400,63,39.452961
401,100,39.939567
402,60,36.414642
403,46,39.767592
404,54,40.871642
405,73,43.795284
406,58,42.621095
407,95,41.354694
408,63,41.505053
409,60,37.536206
410,78,41.629952
411,57,40.421656
412,49,41.076314
413,67,41.079457
414,53,41.846116
415,61,41.375275
416,55,42.354944
417,54,42.340831
418,68,40.032638
419,58,39.432547
420,97,38.895299
421,63,40.788055
422,59,41.32864
423,63,43.539848
424,86,43.826853
425,89,40.62486
426,60,40.15372
427,74,39.150125
428,898,34.309378
429,101,38.848415
430,70,42.494819
431,55,41.496622
432,63,41.403979
433,60,40.619282
434,77,44.054381
435,61,40.787555
436,68,39.732128
437,55,39.850651
438,63,41.898407
439,67,40.906523
440,58,39.449323
441,62,41.312134
442,66,39.496221
443,72,42.040594
444,63,41.879397
445,60,43.678743
446,59,41.351154
447,82,39.909717
448,57,40.937097
449,98,41.968782
450,56,42.206319
451,54,38.841364
452,61,42.244253
453,54,41.466676
454,78,39.26334
455,62,41.80891
456,65,43.104009
457,64,40.782555
458,70,42.771969
459,67,41.701054
460,64,40.348812
461,63,41.528294
462,58,39.075817
463,66,43.51941
464,62,42.237062
465,61,42.184213
466,70,42.403122
467,64,40.77641
468,287,44.492024
469,100,35.662314
470,61,41.643176
471,84,41.131572
472,67,38.903005
473,66,41.581042
474,99,41.126443
475,64,40.864212
476,59,41.286476
477,73,42.467476
478,115,42.881214
479,119,40.333165
480,68,41.49752
481,78,42.387697
482,65,42.976745
483,67,42.182325
484,83,44.908685
485,67,41.262073
486,67,41.582515
487,66,40.895945
488,101,41.360047
489,89,40.792324
490,65,40.469232
491,89,42.443892
492,64,39.690198
493,96,42.533117
494,58,40.022146
495,70,38.340581
496,71,43.210509
497,75,41.358475
498,68,42.631391
499,73,43.705641
500,71,43.548322
501,70,38.470049
502,106,38.877659
503,90,42.326995
504,87,40.477617
505,68,42.065844
506,58,41.996431
507,70,41.566783
508,95,42.522495
509,62,41.333529
510,88,41.380276
511,75,41.983563
512,83,40.82987
513,64,41.8578
514,64,40.007535
515,61,43.330054
516,68,43.056981
517,77,41.320883
518,60,40.477428
519,77,42.505482
520,72,43.127066
521,108,43.171475
522,89,39.35022
523,72,42.001852
524,81,43.387119
525,80,44.026323
526,62,40.704054
527,93,41.557576
528,59,40.423688
529,68,42.318963
530,74,42.094306
531,68,41.544506
532,75,42.866154
533,84,40.723656
534,72,42.653544
535,73,43.395435
536,82,40.843784
537,85,41.069976
538,68,44.330067
539,79,41.512353
540,70,42.314682
541,66,42.577592
542,63,44.120685
543,72,43.199039
544,53,40.688312
545,75,42.957891
546,68,38.349468
547,76,43.09338
548,65,43.990161
549,77,44.063757
550,74,41.337884
551,70,42.693887
552,74,44.627938
553,76,42.463904
554,78,42.139677
555,77,43.920611
556,75,43.550684
557,66,42.501397
558,103,42.573922
559,73,41.775231
560,66,40.860869
561,68,42.888154
562,70,44.272799
563,77,45.094469
564,70,43.564598
565,77,43.228071
566,76,41.896167
567,65,37.460631
568,67,43.336617
569,63,43.187441
570,74,44.411751
571,69,41.244543
572,82,36.680909
573,90,41.714692
574,67,42.107525
575,69,44.399941
576,75,42.639896
577,78,44.271738
578,71,42.392054
579,80,45.849432
580,70,44.077392
581,69,44.680304
582,75,43.008721
583,72,42.368269
584,70,42.896048
585,81,43.161271
586,76,42.635897
587,70,42.200942
588,71,42.344183
589,88,44.824177
590,70,41.221862
591,74,43.355797
592,83,42.332314
593,98,41.257734
594,74,44.323165
595,80,43.554391
596,85,42.787468
597,174,44.658654
598,74,44.257443
599,63,41.27993
600,78,40.296121
601,86,41.581782
602,89,40.623268
603,78,41.895826
604,84,42.699753
605,70,43.764427
606,78,43.380987
607,72,43.250571
608,81,45.417713
609,79,42.18709
610,73,43.243283
611,71,40.914009
612,88,43.104892
613,79,41.906151
614,75,43.667471
615,86,42.32111
616,85,43.270371
617,75,44.673507
618,74,44.735973
619,75,42.252127
620,107,38.972316
621,86,40.415162
622,80,46.378519
623,115,41.852253
624,66,42.161639
625,80,45.00852
626,97,38.750725
627,71,40.905254
628,69,42.898398
629,78,43.122074
630,112,45.765755
631,75,44.744532
632,101,39.695865
633,70,42.825622
634,82,44.970013
635,76,43.682796
636,67,43.070351
637,173,41.718291
638,118,43.825155
639,93,42.562899
640,83,43.730175
641,75,42.290861
642,73,44.064417
643,80,43.693433
644,90,44.044941
645,80,39.643038
646,82,43.748917
647,67,40.734102
648,97,44.536189
649,85,46.873036
650,98,43.235278
651,79,42.715715
652,73,42.05648
653,82,46.69361
654,85,47.274794
655,75,42.940888
656,83,44.020165
657,82,44.131492
658,72,42.371503
659,79,43.40139
660,72,41.971021
661,79,43.776946
662,76,45.214806
663,83,45.597446
664,84,44.179775
665,83,44.758147
666,80,44.378439
667,73,44.638777
668,88,42.067029
669,108,44.086619
670,86,44.277022
671,114,44.294186
672,93,39.981379
673,80,44.531705
674,82,39.87251
675,110,42.863022
676,82,45.334173
677,86,42.663238
678,80,44.884067
679,84,46.351597
680,86,44.68265
681,93,44.422577
682,92,44.236803
683,80,45.128295
684,97,45.220438
685,104,43.617805
686,82,44.113239
687,115,45.608005
688,86,44.202016
689,78,44.295969
690,83,47.279174
691,87,43.031197
692,77,43.168644
693,97,43.789778
694,84,44.653636
695,95,46.208207
696,77,45.262324
697,88,46.046977
698,86,43.343146
699,100,43.262
700,83,41.457037
701,99,44.784481
702,81,42.518921
703,285,44.267228
704,75,46.132151
705,237,44.087979
706,104,44.912864
707,98,45.033078
708,84,46.837039
709,85,44.435083
710,82,46.139018
711,76,43.10687
712,111,43.353129
713,85,44.390465
714,92,46.159933
715,86,43.75591
716,95,44.017792
717,89,47.219462
718,98,43.519382
719,79,42.62871
720,88,45.199027
721,86,46.056212
722,84,44.169928
723,93,46.244107
724,80,42.552656
725,98,39.702244
726,122,43.850191
727,111,43.178059
728,92,44.587017
729,83,45.583979
730,95,44.912667
731,82,44.851869
732,78,44.080773
733,87,46.850945
734,89,44.500062
735,90,46.155297
736,80,44.589479
737,82,41.645096
738,93,44.945359
739,85,42.078823
740,86,46.059932
741,79,45.526449
742,93,47.210651
743,82,44.832311
744,87,46.055106
745,82,44.417225
746,80,45.010684
747,98,42.879138
748,86,44.582795
749,83,43.145181
750,92,45.404612
751,97,45.897296
752,88,44.713479
753,97,44.527001
754,92,44.611094
755,95,44.696631
756,129,49.050229
757,76,45.279986
758,104,46.630796
759,253,42.185253
760,84,43.686115
761,80,45.648713
762,85,43.87946
763,91,47.79915
764,89,42.714567
765,91,45.023809
766,155,40.614386
767,101,44.911535
768,84,45.286448
769,87,43.402378
770,78,44.434895
771,85,45.098412
772,90,44.278302
773,93,44.761442
774,82,43.28882
775,734,46.5756
776,83,45.415739
777,85,45.089735
778,82,45.387327
779,86,39.956367
780,155,43.546585
781,125,43.943328
782,96,46.350856
783,81,45.241087
784,90,45.524536
785,89,46.071633
786,90,45.13041
787,92,47.224011
788,104,44.531452
789,91,45.552528
790,86,41.871594
791,88,44.693881
792,96,44.089372
793,87,44.457672
794,88,43.889562
795,100,44.26417
796,106,44.30278
797,78,43.481077
798,98,44.764486
799,93,42.983507
800,88,43.841154
801,99,44.173531
802,93,43.695933
803,100,45.367818
804,92,44.241942
805,104,43.212503
806,96,45.519333
807,91,45.780501
808,96,45.438839
809,144,43.168357
810,89,43.448432
811,102,45.769916
812,94,44.853533
813,91,43.348022
814,108,43.828262
815,90,47.59526
816,105,40.048156
817,88,46.370088
818,120,45.528893
819,89,45.46975
820,89,47.435804
821,92,47.091015
822,999,10.436475
823,98,43.944894
824,93,46.826808
825,999,42.504272
826,91,47.398827
827,77,43.548787
828,91,45.077524
829,73,45.604864
830,88,45.813728
831,103,44.663497
832,101,44.481799
833,99,45.545313
834,90,45.717459
835,96,43.249867
836,89,44.960117
837,81,45.957309
838,94,46.55053
839,89,48.262055
840,94,44.469944
841,86,47.060868
842,100,45.849157
843,100,47.599717
844,79,44.645643
845,102,40.000277
846,119,44.965902
847,98,44.616598
848,105,44.459068
849,88,44.40802
850,91,46.452077
851,92,46.232201
852,97,45.204388
853,86,45.729483
854,125,44.113913
855,96,44.205383
856,108,47.040196
857,103,44.456216
858,98,46.769532
859,233,43.336272
860,87,41.73701
861,91,44.476815
862,92,44.695087
863,88,44.201671
864,105,43.925909
865,91,45.655555
866,111,47.434949
867,111,44.292314
868,119,47.65299
869,88,45.276235
870,167,45.148258
871,88,45.254889
872,215,46.416929
873,94,45.780179
874,101,45.135274
875,101,43.688481
876,130,44.901298
877,86,46.942664
878,109,46.600634
879,82,45.510442
880,99,47.849648
881,93,45.078951
882,113,40.25212
883,131,47.848402
884,156,44.268101
885,84,45.864516
886,89,45.442895
887,92,47.539107
888,91,44.346008
889,117,45.271883
890,107,42.856143
891,97,44.298948
892,91,42.194674
893,87,41.556045
894,97,43.987693
895,83,45.50262
896,101,43.973354
897,98,44.967832
898,224,41.984687
899,99,45.325014
900,91,43.899715
901,96,46.833356
902,95,44.921825
903,86,46.712787
904,95,45.614412
905,118,49.269225
906,107,44.788976
907,92,45.665665
908,93,46.043506
909,84,45.106742
910,85,41.996495
911,99,47.930032
912,86,43.422607
913,81,46.380567
914,158,41.727173
915,96,44.16901
916,120,45.688375
917,127,42.619467
918,106,43.244823
919,119,46.050245
920,86,46.349188
921,96,42.538802
922,109,46.939069
923,106,44.756629
924,93,41.622558
925,93,46.78485
926,88,45.233144
927,117,44.684112
928,89,40.991276
929,999,36.76819
930,114,46.185184
931,111,41.637748
932,102,46.521202
933,95,47.612327
934,92,45.449337
935,90,46.111611
936,91,41.48368
937,111,44.004152
938,96,45.933333
939,99,45.907297
940,105,45.655014
941,97,45.687703
942,99,46.530966
943,105,47.183228
944,209,47.268806
945,130,45.865898
946,106,44.306571
947,254,46.304463
948,90,45.635448
949,90,44.298182
950,108,48.244418
951,89,39.85233
952,96,48.323974
953,104,48.085176
954,96,45.269696
955,87,44.806073
956,96,46.903821
957,95,45.482618
958,94,42.396846
959,80,44.9756
960,98,45.151381
961,133,43.741845
962,86,43.369426
963,87,46.27131
964,140,45.033432
965,106,46.788682
966,94,46.313906
967,108,38.39708
968,102,45.531153
969,71,43.903015
970,133,39.998064
971,106,47.210786
972,114,48.261759
973,98,43.249371
974,92,46.861274
975,104,46.610638
976,104,46.736898
977,93,46.432757
978,113,45.909635
979,108,46.97309
980,104,43.486477
981,112,43.447931
982,96,47.325844
983,97,44.822179
984,128,45.961143
985,150,44.770335
986,90,45.896778
987,105,44.37588
988,97,44.319063
989,104,45.788906
990,114,47.296752
991,100,46.755739
992,108,46.117007
993,97,47.963195
994,91,44.819072
995,96,45.059593
996,114,43.96671
997,118,48.119962
998,101,41.339373
999,92,45.073168
1000,91,41.297647
1001,86,43.594434
1002,104,46.436877
1003,105,46.116014
1004,97,44.686016
1005,140,39.23166
1006,102,39.958262
1007,108,46.99002
1008,97,41.806752
1009,89,46.294147
1010,111,38.833255
1011,97,46.389716
1012,115,45.17252
1013,97,46.718449
1014,142,46.212364
1015,97,46.498044
1016,87,46.080606
1017,80,45.623104
1018,153,46.547014
1019,98,43.164424
1020,90,47.012073
1021,97,44.080128
1022,132,43.609602
1023,128,40.306731
1024,432,49.285667
1025,96,42.511784
1026,90,46.262162
1027,94,43.877366
1028,103,42.914178
1029,110,44.075043
1030,100,44.3811
1031,109,40.860839
1032,118,45.593641
1033,99,46.33521
1034,86,45.047934
1035,98,42.031216
1036,105,47.425794
1037,100,46.256214
1038,104,41.768618
1039,90,45.2474
1040,100,46.17037
1041,96,47.030878
1042,134,44.822465
1043,94,41.63416
1044,125,45.916161
1045,91,45.949597
1046,94,45.694499
1047,95,46.753435
1048,105,45.812906
1049,96,44.637213
1050,99,45.624203
1051,92,43.425881
1052,102,45.181063
1053,96,46.19623
1054,132,47.088267
1055,108,45.317217
1056,92,44.343749
1057,84,43.636216
1058,196,45.54849
1059,100,46.826339
1060,93,45.494936
1061,95,45.553565
1062,123,45.3628
1063,140,45.906488
1064,97,45.032332
1065,103,42.32295
1066,123,46.024818
1067,110,45.368132
1068,125,41.86437
1069,89,46.173448
1070,88,44.159788
1071,355,43.544367
1072,118,42.68286
1073,113,43.376475
1074,96,45.222697
1075,96,46.898748
1076,101,43.812332
1077,91,43.189649
1078,96,46.553711
1079,94,46.333889
1080,92,45.40266
1081,100,46.356176
1082,103,47.12212
1083,109,45.22189
1084,115,47.081091
1085,94,44.660618
1086,114,45.082077
1087,87,44.634686
1088,99,43.180961
1089,113,42.849917
1090,113,48.082474
1091,138,42.377724
1092,97,46.202498
1093,93,45.566458
1094,104,43.446975
1095,90,45.104181
1096,99,46.037309
1097,96,42.060944
1098,94,44.143067
1099,111,48.40301
1100,96,46.579989
1101,87,44.476349
1102,84,46.563765
1103,93,45.194301
1104,564,45.849186
1105,80,46.257961
