filename,atom_count
qmof-ba60a35.cif,102
qmof-1b6b7d3.cif,194
qmof-e6edf20.cif,126
qmof-987868e.cif,102
qmof-f269adb.cif,84
qmof-04bf78f.cif,196
qmof-2edacf2.cif,56
qmof-b6cbefa.cif,130
qmof-a5abc50.cif,170
qmof-43ea48b.cif,64
qmof-f954167.cif,76
qmof-1dcac87.cif,252
qmof-d286c59.cif,80
qmof-8ce7f1c.cif,108
qmof-bed947e.cif,56
qmof-feb06f2.cif,58
qmof-c70e8ee.cif,122
qmof-a091774.cif,68
qmof-80aae80.cif,86
qmof-4b57e43.cif,216
qmof-9471807.cif,82
qmof-22a80df.cif,60
qmof-201ddfa.cif,110
qmof-3cf8e56.cif,344
qmof-5ee3f65.cif,80
qmof-999de53.cif,82
qmof-724d937.cif,68
qmof-d014068.cif,86
qmof-e0b5cf3.cif,103
qmof-74acec1.cif,282
qmof-718ab88.cif,77
qmof-bad3ee2.cif,100
qmof-c5cb4b1.cif,128
qmof-31fb841.cif,146
qmof-d6d1915.cif,102
qmof-e84c5c9.cif,128
qmof-a92f564.cif,90
qmof-14f8281.cif,96
qmof-aa72c18.cif,76
qmof-07c1136.cif,88
qmof-d72f498.cif,28
qmof-1d483e8.cif,248
qmof-dc2251f.cif,180
qmof-0ac08a6.cif,84
qmof-c5c5d13.cif,61
qmof-b147cb9.cif,50
qmof-e4b5afc.cif,94
qmof-acf1aaf.cif,120
qmof-d210d1a.cif,180
qmof-ed20cf9.cif,86
qmof-c441e76.cif,132
qmof-582b871.cif,168
qmof-f9d1025.cif,360
qmof-0de3389.cif,76
qmof-62b8604.cif,228
qmof-683accb.cif,212
qmof-8663e62.cif,150
qmof-1123eb9.cif,66
qmof-8b6046e.cif,276
qmof-516e1ae.cif,65
qmof-e29169f.cif,98
qmof-026f191.cif,116
qmof-e6dada5.cif,60
qmof-6115da4.cif,60
qmof-e100550.cif,64
qmof-b199359.cif,160
qmof-d9678a4.cif,74
qmof-1461a66.cif,90
qmof-e2b0729.cif,102
qmof-a2222b6.cif,320
qmof-19b5170.cif,104
qmof-8b79c84.cif,86
qmof-a9f6b42.cif,96
qmof-61e9800.cif,62
qmof-46cb25f.cif,90
qmof-0133865.cif,68
qmof-87b3bdd.cif,162
qmof-67f153a.cif,296
qmof-12e5fd9.cif,104
qmof-edbc9dd.cif,86
qmof-600e097.cif,148
qmof-0204d66.cif,145
qmof-d95c17f.cif,38
qmof-2902fa0.cif,126
qmof-9bb480f.cif,46
qmof-ad6a8cd.cif,84
qmof-9b3fc80.cif,28
qmof-a36b34a.cif,88
qmof-29dc9b8.cif,98
qmof-74256d1.cif,56
qmof-4300cc0.cif,56
qmof-eaef6dd.cif,76
qmof-7758afe.cif,128
qmof-14d9a90.cif,116
qmof-cd491a0.cif,164
qmof-abdd3ed.cif,54
qmof-193431e.cif,84
qmof-201af6e.cif,220
qmof-bdd607c.cif,138
qmof-0264fa2.cif,56
qmof-3f3a532.cif,66
qmof-a22c08f.cif,144
qmof-3cfd9d8.cif,66
qmof-30a512a.cif,100
qmof-aa8f56c.cif,208
qmof-3bb252f.cif,84
qmof-4d0c1e9.cif,124
qmof-93dfeb2.cif,116
qmof-44dd757.cif,148
qmof-996eba1.cif,108
qmof-e57c124.cif,132
qmof-67879cc.cif,122
qmof-4e8ed50.cif,60
qmof-16a358a.cif,68
qmof-0c64ba3.cif,92
qmof-5d52dfb.cif,80
qmof-ca62567.cif,42
qmof-f491166.cif,76
qmof-f7232de.cif,202
qmof-850847e.cif,29
qmof-157692e.cif,132
qmof-cb484e3.cif,203
qmof-a099a7e.cif,246
qmof-1bb0dd9.cif,126
qmof-859646d.cif,54
qmof-65f6051.cif,65
qmof-a956203.cif,98
qmof-7c26331.cif,154
qmof-ad64f0d.cif,84
qmof-2cc3abc.cif,29
qmof-c223541.cif,106
qmof-f2942aa.cif,140
qmof-2016868.cif,107
qmof-d3a576e.cif,104
qmof-e1b5da8.cif,112
qmof-1825bea.cif,118
qmof-a5a012b.cif,55
qmof-b33b31e.cif,80
qmof-b2c9f1f.cif,114
qmof-94e2360.cif,28
qmof-e327b51.cif,98
qmof-1a36e21.cif,92
qmof-a2fa029.cif,45
qmof-684f362.cif,166
qmof-a457b47.cif,64
qmof-872f192.cif,68
qmof-ed90b66.cif,68
qmof-5aed73f.cif,216
qmof-b5ec64a.cif,148
qmof-091c24a.cif,87
qmof-951d08f.cif,54
qmof-99da696.cif,96
qmof-1ccde9c.cif,120
qmof-c5df9f7.cif,84
qmof-04e7ddd.cif,140
qmof-eacfd9b.cif,48
qmof-bb971ba.cif,64
qmof-c8da207.cif,78
qmof-0156bfa.cif,88
qmof-5414a07.cif,88
qmof-64499d3.cif,122
qmof-a8abb47.cif,32
qmof-ae1b6bd.cif,76
qmof-f3a8143.cif,104
qmof-a0931f4.cif,244
