2025-11-24 20:58:50,858 - INFO - [MACS-MOF] Training start (EPOCHS=1500)
2025-11-24 20:58:50,858 - INFO - 
================================================================================
2025-11-24 20:58:50,858 - INFO - [EP 0] START
2025-11-24 20:58:50,858 - INFO - [EP 0] max_steps = 300
2025-11-24 20:58:51,401 - INFO - [EP 0] CIF loaded: mofs/train_pool_valid/qmof-c95d01f.cif
2025-11-24 20:58:51,401 - INFO - [INIT] OBS_DIM=360, ACT_DIM=3 (per-atom)
2025-11-24 20:58:51,436 - INFO - [INIT] Agent + ReplayBuffer allocated (per-atom).
2025-11-24 20:58:51,789 - INFO - [EP 0][STEP 0] N=76 | Favg=0.337028 Fmax=0.890545 rew_mean=-1.688339 | ep_buf=76 | alpha=1.00000
2025-11-24 20:58:52,468 - INFO - [EP 0][STEP 1] N=76 | Favg=0.347660 Fmax=0.869078 rew_mean=-0.056921 | ep_buf=152 | alpha=1.00000
2025-11-24 20:58:53,083 - INFO - [EP 0][STEP 2] N=76 | Favg=0.366763 Fmax=0.847618 rew_mean=-0.569250 | ep_buf=228 | alpha=1.00000
2025-11-24 20:58:53,908 - INFO - [EP 0][STEP 3] N=76 | Favg=0.373753 Fmax=0.879277 rew_mean=-0.591519 | ep_buf=304 | alpha=1.00000
2025-11-24 20:58:54,012 - INFO - [EP 0][STEP 4] N=76 | Favg=0.387632 Fmax=0.944670 rew_mean=-0.105295 | ep_buf=380 | alpha=1.00000
2025-11-24 20:58:54,114 - INFO - [EP 0][STEP 5] N=76 | Favg=0.393565 Fmax=0.975834 rew_mean=0.043207 | ep_buf=456 | alpha=1.00000
2025-11-24 20:58:54,215 - INFO - [EP 0][STEP 6] N=76 | Favg=0.394387 Fmax=1.216448 rew_mean=-0.262601 | ep_buf=532 | alpha=1.00000
2025-11-24 20:58:54,317 - INFO - [EP 0][STEP 7] N=76 | Favg=0.409577 Fmax=1.234607 rew_mean=-0.436108 | ep_buf=608 | alpha=1.00000
2025-11-24 20:58:54,419 - INFO - [EP 0][STEP 8] N=76 | Favg=0.429688 Fmax=1.178303 rew_mean=-0.263929 | ep_buf=684 | alpha=1.00000
2025-11-24 20:58:54,520 - INFO - [EP 0][STEP 9] N=76 | Favg=0.451334 Fmax=1.402459 rew_mean=-0.585810 | ep_buf=760 | alpha=1.00000
2025-11-24 20:58:54,622 - INFO - [EP 0][STEP 10] N=76 | Favg=0.449422 Fmax=1.318101 rew_mean=0.386567 | ep_buf=836 | alpha=1.00000
2025-11-24 20:58:54,724 - INFO - [EP 0][STEP 11] N=76 | Favg=0.471250 Fmax=1.493810 rew_mean=-0.460302 | ep_buf=912 | alpha=1.00000
2025-11-24 20:58:54,825 - INFO - [EP 0][STEP 12] N=76 | Favg=0.479902 Fmax=1.440040 rew_mean=-0.187445 | ep_buf=988 | alpha=1.00000
2025-11-24 20:58:54,926 - INFO - [EP 0][STEP 13] N=76 | Favg=0.497631 Fmax=1.433976 rew_mean=-0.213177 | ep_buf=1,064 | alpha=1.00000
2025-11-24 20:58:55,028 - INFO - [EP 0][STEP 14] N=76 | Favg=0.512144 Fmax=1.370882 rew_mean=-0.755907 | ep_buf=1,140 | alpha=1.00000
2025-11-24 20:58:55,129 - INFO - [EP 0][STEP 15] N=76 | Favg=0.518066 Fmax=1.295247 rew_mean=0.033471 | ep_buf=1,216 | alpha=1.00000
2025-11-24 20:58:55,230 - INFO - [EP 0][STEP 16] N=76 | Favg=0.537877 Fmax=1.333701 rew_mean=-0.365244 | ep_buf=1,292 | alpha=1.00000
2025-11-24 20:58:55,331 - INFO - [EP 0][STEP 17] N=76 | Favg=0.568224 Fmax=1.552118 rew_mean=-0.501783 | ep_buf=1,368 | alpha=1.00000
2025-11-24 20:58:55,433 - INFO - [EP 0][STEP 18] N=76 | Favg=0.573653 Fmax=1.473907 rew_mean=0.260334 | ep_buf=1,444 | alpha=1.00000
2025-11-24 20:58:55,536 - INFO - [EP 0][STEP 19] N=76 | Favg=0.574808 Fmax=1.471385 rew_mean=-0.095433 | ep_buf=1,520 | alpha=1.00000
2025-11-24 20:58:55,637 - INFO - [EP 0][STEP 20] N=76 | Favg=0.586058 Fmax=1.567393 rew_mean=-0.179045 | ep_buf=1,596 | alpha=1.00000
2025-11-24 20:58:55,739 - INFO - [EP 0][STEP 21] N=76 | Favg=0.586433 Fmax=1.511164 rew_mean=-0.137726 | ep_buf=1,672 | alpha=1.00000
2025-11-24 20:58:55,840 - INFO - [EP 0][STEP 22] N=76 | Favg=0.575602 Fmax=1.495857 rew_mean=-0.121421 | ep_buf=1,748 | alpha=1.00000
2025-11-24 20:58:55,941 - INFO - [EP 0][STEP 23] N=76 | Favg=0.596347 Fmax=1.862061 rew_mean=-0.033427 | ep_buf=1,824 | alpha=1.00000
2025-11-24 20:58:56,043 - INFO - [EP 0][STEP 24] N=76 | Favg=0.608971 Fmax=1.833611 rew_mean=-0.119824 | ep_buf=1,900 | alpha=1.00000
2025-11-24 20:58:56,144 - INFO - [EP 0][STEP 25] N=76 | Favg=0.629340 Fmax=1.924900 rew_mean=-0.484287 | ep_buf=1,976 | alpha=1.00000
